CO_IES;CO_CURSO;CO_MUNICIPIO;DS_MODELO_DADOS;TP_MODALIDADE_ENSINO;ANO_INICIAL;ANO_FINAL;ANOS_ZERO;NO_IES;NO_CURSO;NO_MUNICIPIO;NU_ANO_CENSO
1270;1328954;3557105;cadastro_cursos;2;2021;2023;3;CENTRO UNIVERSITÁRIO ESTÁCIO DE RIBEIRÃO PRETO;Sistemas De Informação;Votuporanga;2023
1270;1328954;4124103;cadastro_cursos;2;2022;2024;3;CENTRO UNIVERSITÁRIO ESTÁCIO DE RIBEIRÃO PRETO;Sistemas De Informação;Santo Antônio da Platina;2024
1270;1328954;4316600;cadastro_cursos;2;2022;2024;3;CENTRO UNIVERSITÁRIO ESTÁCIO DE RIBEIRÃO PRETO;Sistemas De Informação;Sananduva;2024
1270;1328954;4318903;cadastro_cursos;2;2020;2023;4;CENTRO UNIVERSITÁRIO ESTÁCIO DE RIBEIRÃO PRETO;Sistemas De Informação;São Luiz Gonzaga;2023
1270;1328954;5106000;cadastro_cursos;2;2022;2024;3;CENTRO UNIVERSITÁRIO ESTÁCIO DE RIBEIRÃO PRETO;Sistemas De Informação;Nortelândia;2024
1270;1328954;5106224;cadastro_cursos;2;2022;2024;3;CENTRO UNIVERSITÁRIO ESTÁCIO DE RIBEIRÃO PRETO;Sistemas De Informação;Nova Mutum;2024
1270;1468729;2103208;cadastro_cursos;2;2022;2024;3;CENTRO UNIVERSITÁRIO ESTÁCIO DE RIBEIRÃO PRETO;Ciência Da Computação;Chapadinha;2024
1270;1468729;3124005;cadastro_cursos;2;2022;2024;3;CENTRO UNIVERSITÁRIO ESTÁCIO DE RIBEIRÃO PRETO;Ciência Da Computação;Ervália;2024
1270;1468729;3203403;cadastro_cursos;2;2020;2022;3;CENTRO UNIVERSITÁRIO ESTÁCIO DE RIBEIRÃO PRETO;Ciências Da Computação;Mimoso do Sul;2022
1270;1468729;3502101;cadastro_cursos;2;2022;2024;3;CENTRO UNIVERSITÁRIO ESTÁCIO DE RIBEIRÃO PRETO;Ciência Da Computação;Andradina;2024
1270;1468729;3535804;cadastro_cursos;2;2021;2023;3;CENTRO UNIVERSITÁRIO ESTÁCIO DE RIBEIRÃO PRETO;Ciências Da Computação;Paranapanema;2023
1270;1468729;5102793;cadastro_cursos;2;2020;2023;4;CENTRO UNIVERSITÁRIO ESTÁCIO DE RIBEIRÃO PRETO;Ciências Da Computação;Carlinda;2023
1270;1484996;1500107;cadastro_cursos;2;2022;2024;3;CENTRO UNIVERSITÁRIO ESTÁCIO DE RIBEIRÃO PRETO;Banco De Dados;Abaetetuba;2024
1270;1484996;1718204;cadastro_cursos;2;2022;2024;3;CENTRO UNIVERSITÁRIO ESTÁCIO DE RIBEIRÃO PRETO;Banco De Dados;Porto Nacional;2024
1270;1484996;2302503;cadastro_cursos;2;2022;2024;3;CENTRO UNIVERSITÁRIO ESTÁCIO DE RIBEIRÃO PRETO;Banco De Dados;Brejo Santo;2024
1270;1484996;2914604;cadastro_cursos;2;2022;2024;3;CENTRO UNIVERSITÁRIO ESTÁCIO DE RIBEIRÃO PRETO;Banco De Dados;Irecê;2024
1270;1484996;3118304;cadastro_cursos;2;2022;2024;3;CENTRO UNIVERSITÁRIO ESTÁCIO DE RIBEIRÃO PRETO;Banco De Dados;Conselheiro Lafaiete;2024
1270;1484996;3122306;cadastro_cursos;2;2022;2024;3;CENTRO UNIVERSITÁRIO ESTÁCIO DE RIBEIRÃO PRETO;Banco De Dados;Divinópolis;2024
1270;1484996;3524006;cadastro_cursos;2;2022;2024;3;CENTRO UNIVERSITÁRIO ESTÁCIO DE RIBEIRÃO PRETO;Banco De Dados;Itupeva;2024
1270;1484996;3529005;cadastro_cursos;2;2021;2024;4;CENTRO UNIVERSITÁRIO ESTÁCIO DE RIBEIRÃO PRETO;Banco De Dados;Marília;2024
1270;1484996;3531803;cadastro_cursos;2;2022;2024;3;CENTRO UNIVERSITÁRIO ESTÁCIO DE RIBEIRÃO PRETO;Banco De Dados;Monte Mor;2024
1270;1484996;3534708;cadastro_cursos;2;2021;2024;4;CENTRO UNIVERSITÁRIO ESTÁCIO DE RIBEIRÃO PRETO;Banco De Dados;Ourinhos;2024
1270;1484996;3556453;cadastro_cursos;2;2021;2023;3;CENTRO UNIVERSITÁRIO ESTÁCIO DE RIBEIRÃO PRETO;Banco De Dados;Vargem Grande Paulista;2023
1270;1484996;3557006;cadastro_cursos;2;2021;2024;4;CENTRO UNIVERSITÁRIO ESTÁCIO DE RIBEIRÃO PRETO;Banco De Dados;Votorantim;2024
1270;1484996;5103403;cadastro_cursos;2;2020;2022;3;CENTRO UNIVERSITÁRIO ESTÁCIO DE RIBEIRÃO PRETO;Banco De Dados;Cuiabá;2022
1270;1484996;5107602;cadastro_cursos;2;2022;2024;3;CENTRO UNIVERSITÁRIO ESTÁCIO DE RIBEIRÃO PRETO;Banco De Dados;Rondonópolis;2024
1270;1484996;5205109;cadastro_cursos;2;2022;2024;3;CENTRO UNIVERSITÁRIO ESTÁCIO DE RIBEIRÃO PRETO;Banco De Dados;Catalão;2024
1270;1484996;5217609;cadastro_cursos;2;2021;2023;3;CENTRO UNIVERSITÁRIO ESTÁCIO DE RIBEIRÃO PRETO;Banco De Dados;Planaltina;2023
1270;1484997;1502152;cadastro_cursos;2;2021;2023;3;CENTRO UNIVERSITÁRIO ESTÁCIO DE RIBEIRÃO PRETO;Defesa Cibernética;Canaã dos Carajás;2023
1270;1484997;2905701;cadastro_cursos;2;2022;2024;3;CENTRO UNIVERSITÁRIO ESTÁCIO DE RIBEIRÃO PRETO;Defesa Cibernética;Camaçari;2024
1270;1484997;2918001;cadastro_cursos;2;2020;2023;4;CENTRO UNIVERSITÁRIO ESTÁCIO DE RIBEIRÃO PRETO;Defesa Cibernética;Jequié;2023
1270;1484997;3118304;cadastro_cursos;2;2020;2022;3;CENTRO UNIVERSITÁRIO ESTÁCIO DE RIBEIRÃO PRETO;Defesa Cibernética;Conselheiro Lafaiete;2022
1270;1484997;3122306;cadastro_cursos;2;2020;2022;3;CENTRO UNIVERSITÁRIO ESTÁCIO DE RIBEIRÃO PRETO;Defesa Cibernética;Divinópolis;2022
1270;1484997;3125101;cadastro_cursos;2;2021;2024;4;CENTRO UNIVERSITÁRIO ESTÁCIO DE RIBEIRÃO PRETO;Defesa Cibernética;Extrema;2024
1270;1484997;3305109;cadastro_cursos;2;2020;2022;3;CENTRO UNIVERSITÁRIO ESTÁCIO DE RIBEIRÃO PRETO;Defesa Cibernética;São João de Meriti;2022
1270;1484997;3511102;cadastro_cursos;2;2022;2024;3;CENTRO UNIVERSITÁRIO ESTÁCIO DE RIBEIRÃO PRETO;Defesa Cibernética;Catanduva;2024
1270;1484997;3515707;cadastro_cursos;2;2020;2023;4;CENTRO UNIVERSITÁRIO ESTÁCIO DE RIBEIRÃO PRETO;Defesa Cibernética;Ferraz de Vasconcelos;2023
1270;1484997;3533403;cadastro_cursos;2;2022;2024;3;CENTRO UNIVERSITÁRIO ESTÁCIO DE RIBEIRÃO PRETO;Defesa Cibernética;Nova Odessa;2024
1270;1484997;3539301;cadastro_cursos;2;2021;2024;4;CENTRO UNIVERSITÁRIO ESTÁCIO DE RIBEIRÃO PRETO;Defesa Cibernética;Pirassununga;2024
1270;1484997;3543907;cadastro_cursos;2;2020;2022;3;CENTRO UNIVERSITÁRIO ESTÁCIO DE RIBEIRÃO PRETO;Defesa Cibernética;Rio Claro;2022
1270;1484997;3549706;cadastro_cursos;2;2022;2024;3;CENTRO UNIVERSITÁRIO ESTÁCIO DE RIBEIRÃO PRETO;Defesa Cibernética;São José do Rio Pardo;2024
1270;1484997;4323804;cadastro_cursos;2;2021;2023;3;CENTRO UNIVERSITÁRIO ESTÁCIO DE RIBEIRÃO PRETO;Defesa Cibernética;Xangri-lá;2023
1270;1485014;1200401;cadastro_cursos;2;2022;2024;3;CENTRO UNIVERSITÁRIO ESTÁCIO DE RIBEIRÃO PRETO;Jogos Digitais;Rio Branco;2024
1270;1485014;1500800;cadastro_cursos;2;2021;2023;3;CENTRO UNIVERSITÁRIO ESTÁCIO DE RIBEIRÃO PRETO;Jogos Digitais;Ananindeua;2023
1270;1485014;1508100;cadastro_cursos;2;2020;2024;5;CENTRO UNIVERSITÁRIO ESTÁCIO DE RIBEIRÃO PRETO;Jogos Digitais;Tucuruí;2024
1270;1485014;2109908;cadastro_cursos;2;2021;2023;3;CENTRO UNIVERSITÁRIO ESTÁCIO DE RIBEIRÃO PRETO;Jogos Digitais;Santa Inês;2023
1270;1485014;3171303;cadastro_cursos;2;2022;2024;3;CENTRO UNIVERSITÁRIO ESTÁCIO DE RIBEIRÃO PRETO;Jogos Digitais;Viçosa;2024
1270;1485014;3300704;cadastro_cursos;2;2022;2024;3;CENTRO UNIVERSITÁRIO ESTÁCIO DE RIBEIRÃO PRETO;Jogos Digitais;Cabo Frio;2024
1270;1485014;3502101;cadastro_cursos;2;2020;2023;4;CENTRO UNIVERSITÁRIO ESTÁCIO DE RIBEIRÃO PRETO;Jogos Digitais;Andradina;2023
1270;1485014;3503307;cadastro_cursos;2;2022;2024;3;CENTRO UNIVERSITÁRIO ESTÁCIO DE RIBEIRÃO PRETO;Jogos Digitais;Araras;2024
1270;1485014;3509403;cadastro_cursos;2;2022;2024;3;CENTRO UNIVERSITÁRIO ESTÁCIO DE RIBEIRÃO PRETO;Jogos Digitais;Cajuru;2024
1270;1485014;3515509;cadastro_cursos;2;2021;2024;4;CENTRO UNIVERSITÁRIO ESTÁCIO DE RIBEIRÃO PRETO;Jogos Digitais;Fernandópolis;2024
1270;1485014;3520509;cadastro_cursos;2;2020;2024;5;CENTRO UNIVERSITÁRIO ESTÁCIO DE RIBEIRÃO PRETO;Jogos Digitais;Indaiatuba;2024
1270;1485014;3530508;cadastro_cursos;2;2021;2024;4;CENTRO UNIVERSITÁRIO ESTÁCIO DE RIBEIRÃO PRETO;Jogos Digitais;Mococa;2024
1270;1485014;3537107;cadastro_cursos;2;2020;2022;3;CENTRO UNIVERSITÁRIO ESTÁCIO DE RIBEIRÃO PRETO;Jogos Digitais;Pedreira;2022
1270;1485014;3549409;cadastro_cursos;2;2022;2024;3;CENTRO UNIVERSITÁRIO ESTÁCIO DE RIBEIRÃO PRETO;Jogos Digitais;São Joaquim da Barra;2024
1270;1485014;4104808;cadastro_cursos;2;2021;2023;3;CENTRO UNIVERSITÁRIO ESTÁCIO DE RIBEIRÃO PRETO;Jogos Digitais;Cascavel;2023
1270;1485014;4124103;cadastro_cursos;2;2020;2023;4;CENTRO UNIVERSITÁRIO ESTÁCIO DE RIBEIRÃO PRETO;Jogos Digitais;Santo Antônio da Platina;2023
1270;1485038;1400100;cadastro_cursos;2;2022;2024;3;CENTRO UNIVERSITÁRIO ESTÁCIO DE RIBEIRÃO PRETO;Sistemas Para Internet;Boa Vista;2024
1270;1485038;1718204;cadastro_cursos;2;2022;2024;3;CENTRO UNIVERSITÁRIO ESTÁCIO DE RIBEIRÃO PRETO;Sistemas Para Internet;Porto Nacional;2024
1270;1485038;2704302;cadastro_cursos;2;2020;2022;3;CENTRO UNIVERSITÁRIO ESTÁCIO DE RIBEIRÃO PRETO;Sistemas Para Internet;Maceió;2022
1270;1485038;2919207;cadastro_cursos;2;2022;2024;3;CENTRO UNIVERSITÁRIO ESTÁCIO DE RIBEIRÃO PRETO;Sistemas Para Internet;Lauro de Freitas;2024
1270;1485038;3118304;cadastro_cursos;2;2020;2022;3;CENTRO UNIVERSITÁRIO ESTÁCIO DE RIBEIRÃO PRETO;Sistemas Para Internet;Conselheiro Lafaiete;2022
1270;1485038;3122306;cadastro_cursos;2;2020;2022;3;CENTRO UNIVERSITÁRIO ESTÁCIO DE RIBEIRÃO PRETO;Sistemas Para Internet;Divinópolis;2022
1270;1485038;3151404;cadastro_cursos;2;2021;2024;4;CENTRO UNIVERSITÁRIO ESTÁCIO DE RIBEIRÃO PRETO;Sistemas Para Internet;Pitangui;2024
1270;1485038;3152501;cadastro_cursos;2;2020;2023;4;CENTRO UNIVERSITÁRIO ESTÁCIO DE RIBEIRÃO PRETO;Sistemas Para Internet;Pouso Alegre;2023
1270;1485038;3504008;cadastro_cursos;2;2022;2024;3;CENTRO UNIVERSITÁRIO ESTÁCIO DE RIBEIRÃO PRETO;Sistemas Para Internet;Assis;2024
1270;1485038;3520509;cadastro_cursos;2;2020;2022;3;CENTRO UNIVERSITÁRIO ESTÁCIO DE RIBEIRÃO PRETO;Sistemas Para Internet;Indaiatuba;2022
1270;1485038;3524303;cadastro_cursos;2;2022;2024;3;CENTRO UNIVERSITÁRIO ESTÁCIO DE RIBEIRÃO PRETO;Sistemas Para Internet;Jaboticabal;2024
1270;1485038;3531308;cadastro_cursos;2;2022;2024;3;CENTRO UNIVERSITÁRIO ESTÁCIO DE RIBEIRÃO PRETO;Sistemas Para Internet;Monte Alto;2024
1270;1485038;3547809;cadastro_cursos;2;2022;2024;3;CENTRO UNIVERSITÁRIO ESTÁCIO DE RIBEIRÃO PRETO;Sistemas Para Internet;Santo André;2024
1270;1485038;4124103;cadastro_cursos;2;2022;2024;3;CENTRO UNIVERSITÁRIO ESTÁCIO DE RIBEIRÃO PRETO;Sistemas Para Internet;Santo Antônio da Platina;2024
1270;1485038;4323804;cadastro_cursos;2;2022;2024;3;CENTRO UNIVERSITÁRIO ESTÁCIO DE RIBEIRÃO PRETO;Sistemas Para Internet;Xangri-lá;2024
1270;1485038;5002704;cadastro_cursos;2;2021;2024;4;CENTRO UNIVERSITÁRIO ESTÁCIO DE RIBEIRÃO PRETO;Sistemas Para Internet;Campo Grande;2024
1270;1485038;5208004;cadastro_cursos;2;2020;2023;4;CENTRO UNIVERSITÁRIO ESTÁCIO DE RIBEIRÃO PRETO;Sistemas Para Internet;Formosa;2023
1270;1498720;1100023;cadastro_cursos;2;2020;2022;3;CENTRO UNIVERSITÁRIO ESTÁCIO DE RIBEIRÃO PRETO;Engenharia De Software;Ariquemes;2022
1270;1498720;3124005;cadastro_cursos;2;2020;2023;4;CENTRO UNIVERSITÁRIO ESTÁCIO DE RIBEIRÃO PRETO;Engenharia De Software;Ervália;2023
1270;1498720;3509007;cadastro_cursos;2;2022;2024;3;CENTRO UNIVERSITÁRIO ESTÁCIO DE RIBEIRÃO PRETO;Engenharia De Software;Caieiras;2024
