MOTIVO_CURADORIA;CO_IES;CO_CURSO;ANO_INICIAL;ANO_FINAL;NO_IES_LISTA;NO_CURSO_LISTA;ROTULOS_CINE_NA_SERIE;ROTULOS_CANONICOS;DECISAO_CURADORIA;STATUS_VERIFICACAO_FONTE
mudancas reais apos unificar as tres descricoes de Engenharia de Computacao;671;1537675;2020;2024;UNIVERSIDADE ANHANGUERA;DESENVOLVIMENTO MOBILE | Desenvolvimento Mobile;Engenharia de software | Programas abrangendo Computação e Tecnologias da Informação e Comunicação (TIC) em processo de definição da classificação;ENGENHARIA DE SOFTWARE | PROGRAMAS ABRANGENDO COMPUTACAO E TECNOLOGIAS DA INFORMACAO E COMUNICACAO TIC EM PROCESSO DE DEFINICAO DA CLASSIFICACAO;"manter; a classificacao declarada em cada ano pode mudar sem alterar o recorte";"pendente; triagem automatica nao confirma preenchimento da IES"
mudancas reais apos unificar as tres descricoes de Engenharia de Computacao;437;1565359;2021;2024;UNIVERSIDADE PARANAENSE;Desenvolvimento Mobile;Engenharia de software | Programas abrangendo Computação e Tecnologias da Informação e Comunicação (TIC) em processo de definição da classificação;ENGENHARIA DE SOFTWARE | PROGRAMAS ABRANGENDO COMPUTACAO E TECNOLOGIAS DA INFORMACAO E COMUNICACAO TIC EM PROCESSO DE DEFINICAO DA CLASSIFICACAO;"manter; a classificacao declarada em cada ano pode mudar sem alterar o recorte";"pendente; triagem automatica nao confirma preenchimento da IES"
mudancas reais apos unificar as tres descricoes de Engenharia de Computacao;16543;1570707;2023;2024;Faculdade Metropolitana do Estado de São Paulo;Big Data E Inteligência Analítica;Banco de dados | Ciência de dados;BANCO DE DADOS | CIENCIA DE DADOS;"manter; a classificacao declarada em cada ano pode mudar sem alterar o recorte";"pendente; triagem automatica nao confirma preenchimento da IES"
mudancas reais apos unificar as tres descricoes de Engenharia de Computacao;12916;1572272;2023;2024;IPOG - INSTITUTO DE PÓS-GRADUAÇÃO & GRADUAÇÃO;Banco De Dados | Data Science;Banco de dados | Ciência de dados;BANCO DE DADOS | CIENCIA DE DADOS;"manter; a classificacao declarada em cada ano pode mudar sem alterar o recorte";"pendente; triagem automatica nao confirma preenchimento da IES"
mudancas reais apos unificar as tres descricoes de Engenharia de Computacao;515;1576418;2022;2024;Centro Universitário Anhanguera Pitágoras Unopar de Niterói;Desenvolvimento Mobile;Engenharia de software | Programas abrangendo Computação e Tecnologias da Informação e Comunicação (TIC) em processo de definição da classificação;ENGENHARIA DE SOFTWARE | PROGRAMAS ABRANGENDO COMPUTACAO E TECNOLOGIAS DA INFORMACAO E COMUNICACAO TIC EM PROCESSO DE DEFINICAO DA CLASSIFICACAO;"manter; a classificacao declarada em cada ano pode mudar sem alterar o recorte";"pendente; triagem automatica nao confirma preenchimento da IES"
mudancas reais apos unificar as tres descricoes de Engenharia de Computacao;926;1576591;2022;2024;Centro Universitário Anhanguera Pitágoras Unopar de Campo Grande;Desenvolvimento Mobile;Engenharia de software | Programas abrangendo Computação e Tecnologias da Informação e Comunicação (TIC) em processo de definição da classificação;ENGENHARIA DE SOFTWARE | PROGRAMAS ABRANGENDO COMPUTACAO E TECNOLOGIAS DA INFORMACAO E COMUNICACAO TIC EM PROCESSO DE DEFINICAO DA CLASSIFICACAO;"manter; a classificacao declarada em cada ano pode mudar sem alterar o recorte";"pendente; triagem automatica nao confirma preenchimento da IES"
mudancas reais apos unificar as tres descricoes de Engenharia de Computacao;242;1582586;2021;2024;CENTRO UNIVERSITÁRIO ANHANGUERA PITÁGORAS AMPLI;Desenvolvimento Mobile;Engenharia de software | Programas abrangendo Computação e Tecnologias da Informação e Comunicação (TIC) em processo de definição da classificação;ENGENHARIA DE SOFTWARE | PROGRAMAS ABRANGENDO COMPUTACAO E TECNOLOGIAS DA INFORMACAO E COMUNICACAO TIC EM PROCESSO DE DEFINICAO DA CLASSIFICACAO;"manter; a classificacao declarada em cada ano pode mudar sem alterar o recorte";"pendente; triagem automatica nao confirma preenchimento da IES"
mudancas reais apos unificar as tres descricoes de Engenharia de Computacao;19865;1585464;2023;2024;Faculdade Una de Pouso Alegre;Engenharia De Computação;Ciência da computação | Engenharia de computação;CIENCIA DA COMPUTACAO | ENGENHARIA DE COMPUTACAO;"manter; a classificacao declarada em cada ano pode mudar sem alterar o recorte";"pendente; triagem automatica nao confirma preenchimento da IES"
mudancas reais apos unificar as tres descricoes de Engenharia de Computacao;1900;1597150;2022;2024;Centro Universitário de Ensino, Ciência e Tecnologia do Paraná;Banco De Dados | Ciência De Dados;Banco de dados | Ciência de dados;BANCO DE DADOS | CIENCIA DE DADOS;"manter; a classificacao declarada em cada ano pode mudar sem alterar o recorte";"pendente; triagem automatica nao confirma preenchimento da IES"
mudancas reais apos unificar as tres descricoes de Engenharia de Computacao;526;1598852;2022;2024;CENTRO UNIVERSITÁRIO BRAZ CUBAS;Desenvolvimento Mobile;Engenharia de software | Programas abrangendo Computação e Tecnologias da Informação e Comunicação (TIC) em processo de definição da classificação;ENGENHARIA DE SOFTWARE | PROGRAMAS ABRANGENDO COMPUTACAO E TECNOLOGIAS DA INFORMACAO E COMUNICACAO TIC EM PROCESSO DE DEFINICAO DA CLASSIFICACAO;"manter; a classificacao declarada em cada ano pode mudar sem alterar o recorte";"pendente; triagem automatica nao confirma preenchimento da IES"
