MOTIVO_CURADORIA;NU_ANO_CENSO;CO_IES;NO_IES;CO_CURSO;NO_CURSO;DS_TP_MODALIDADE_ENSINO;DS_TP_GRAU_ACADEMICO;CO_ROTULO_AREA;NO_ROTULO_AREA;DS_CLASSIFICACAO_AREA;DS_CRITERIO_ESCOPO;QT_MAT;QT_ING;QT_CONC;DECISAO_CURADORIA;STATUS_VERIFICACAO_FONTE
serie de baixa atividade: >=3 anos, metade com 0 matricula e menos de 20 no total;2011;20;UNIVERSIDADE DE PASSO FUNDO;70375;SISTEMA DE INFORMAÇÃO;Presencial;Tecnológico;0615S02;Sistemas de informação;CINE;CINE área geral 6 Computação/TIC;0.0;0.0;0.0;"manter; aplicar filtro de atividade conforme a pergunta do visual";"pendente; triagem automatica nao confirma preenchimento da IES"
serie de baixa atividade: >=3 anos, metade com 0 matricula e menos de 20 no total;2012;20;UNIVERSIDADE DE PASSO FUNDO;70375;SISTEMA DE INFORMAÇÃO;Presencial;Tecnológico;0615S02;Sistemas de informação;CINE;CINE área geral 6 Computação/TIC;0.0;0.0;0.0;"manter; aplicar filtro de atividade conforme a pergunta do visual";"pendente; triagem automatica nao confirma preenchimento da IES"
serie de baixa atividade: >=3 anos, metade com 0 matricula e menos de 20 no total;2009;2037;FACULDADE UNIME DE CIENCIAS EXATAS E TECNOLOGICAS;119614;CST em Sistemas para Internet;Presencial;Tecnológico;0615S03;Sistemas para internet;CINE;CINE área geral 6 Computação/TIC;10.0;14.0;0.0;"manter; aplicar filtro de atividade conforme a pergunta do visual";"pendente; triagem automatica nao confirma preenchimento da IES"
serie de baixa atividade: >=3 anos, metade com 0 matricula e menos de 20 no total;2010;2037;FACULDADE UNIME DE CIÊNCIAS EXATAS E TECNOLÓGICAS;119614;SISTEMAS PARA INTERNET;Presencial;Tecnológico;0615S03;Sistemas para internet;CINE;CINE área geral 6 Computação/TIC;7.0;0.0;0.0;"manter; aplicar filtro de atividade conforme a pergunta do visual";"pendente; triagem automatica nao confirma preenchimento da IES"
serie de baixa atividade: >=3 anos, metade com 0 matricula e menos de 20 no total;2016;2037;FACULDADE UNIME DE CIÊNCIAS EXATAS E TECNOLÓGICAS;119614;SISTEMAS PARA INTERNET;Presencial;Tecnológico;0615S03;Sistemas para internet;CINE;CINE área geral 6 Computação/TIC;0.0;0.0;0.0;"manter; aplicar filtro de atividade conforme a pergunta do visual";"pendente; triagem automatica nao confirma preenchimento da IES"
serie de baixa atividade: >=3 anos, metade com 0 matricula e menos de 20 no total;2017;2037;FACULDADE UNIME DE CIÊNCIAS EXATAS E TECNOLÓGICAS;119614;SISTEMAS PARA INTERNET;Presencial;Tecnológico;482U01;Uso da internet;OCDE;OCDE área específica 48 Computação;0.0;0.0;0.0;"manter; aplicar filtro de atividade conforme a pergunta do visual";"pendente; triagem automatica nao confirma preenchimento da IES"
serie de baixa atividade: >=3 anos, metade com 0 matricula e menos de 20 no total;2018;2076;Centro Universitário Regional do Brasil;1438207;ENGENHARIA DE SOFTWARE;Presencial;Bacharelado;0613E01;Engenharia de software;CINE Brasil;CINE Brasil área geral 6 Computação/TIC;2.0;2.0;0.0;"manter; aplicar filtro de atividade conforme a pergunta do visual";"pendente; triagem automatica nao confirma preenchimento da IES"
serie de baixa atividade: >=3 anos, metade com 0 matricula e menos de 20 no total;2019;2076;CENTRO UNIVERSITÁRIO UNIRB;1438207;ENGENHARIA DE SOFTWARE;Presencial;Bacharelado;0613E01;Engenharia de software;CINE Brasil;CINE Brasil área geral 6 Computação/TIC;0.0;0.0;0.0;"manter; aplicar filtro de atividade conforme a pergunta do visual";"pendente; triagem automatica nao confirma preenchimento da IES"
serie de baixa atividade: >=3 anos, metade com 0 matricula e menos de 20 no total;2020;2076;CENTRO UNIVERSITÁRIO UNIRB;1438207;ENGENHARIA DE SOFTWARE;Presencial;Bacharelado;0613E01;Engenharia de software;CINE;CINE área geral 6 Computação/TIC;0.0;0.0;0.0;"manter; aplicar filtro de atividade conforme a pergunta do visual";"pendente; triagem automatica nao confirma preenchimento da IES"
serie de baixa atividade: >=3 anos, metade com 0 matricula e menos de 20 no total;2023;2076;CENTRO UNIVERSITÁRIO UNIRB;1438207;Engenharia De Software;Presencial;Bacharelado;0613E01;Engenharia de software;CINE;CINE área geral 6 Computação/TIC;1.0;1.0;0.0;"manter; aplicar filtro de atividade conforme a pergunta do visual";"pendente; triagem automatica nao confirma preenchimento da IES"
serie de baixa atividade: >=3 anos, metade com 0 matricula e menos de 20 no total;2024;2076;CENTRO UNIVERSITÁRIO UNIRB;1438207;Engenharia De Software;Presencial;Bacharelado;0613E01;Engenharia de software;CINE;CINE área geral 6 Computação/TIC;0.0;0.0;0.0;"manter; aplicar filtro de atividade conforme a pergunta do visual";"pendente; triagem automatica nao confirma preenchimento da IES"
serie de baixa atividade: >=3 anos, metade com 0 matricula e menos de 20 no total;2018;2149;FACULDADE MATO GROSSO DO SUL;110140;GESTÃO DA TECNOLOGIA DA INFORMAÇÃO;Presencial;Tecnológico;0612G01;Gestão da tecnologia da informação;CINE Brasil;CINE Brasil área geral 6 Computação/TIC;0.0;1.0;0.0;"manter; aplicar filtro de atividade conforme a pergunta do visual";"pendente; triagem automatica nao confirma preenchimento da IES"
serie de baixa atividade: >=3 anos, metade com 0 matricula e menos de 20 no total;2019;2149;FACULDADE MATO GROSSO DO SUL;110140;GESTÃO DA TECNOLOGIA DA INFORMAÇÃO;Presencial;Tecnológico;0612G01;Gestão da tecnologia da informação;CINE Brasil;CINE Brasil área geral 6 Computação/TIC;0.0;1.0;0.0;"manter; aplicar filtro de atividade conforme a pergunta do visual";"pendente; triagem automatica nao confirma preenchimento da IES"
serie de baixa atividade: >=3 anos, metade com 0 matricula e menos de 20 no total;2020;2149;FACULDADE MATO GROSSO DO SUL;110140;GESTÃO DA TECNOLOGIA DA INFORMAÇÃO;Presencial;Tecnológico;0612G01;Gestão da tecnologia da informação;CINE;CINE área geral 6 Computação/TIC;0.0;0.0;0.0;"manter; aplicar filtro de atividade conforme a pergunta do visual";"pendente; triagem automatica nao confirma preenchimento da IES"
serie de baixa atividade: >=3 anos, metade com 0 matricula e menos de 20 no total;2021;221;UNIVERSIDADE CRUZEIRO DO SUL;1562436;Sistemas De Informação;Presencial;Bacharelado;0615S02;Sistemas de informação;CINE;CINE área geral 6 Computação/TIC;19.0;22.0;0.0;"manter; aplicar filtro de atividade conforme a pergunta do visual";"pendente; triagem automatica nao confirma preenchimento da IES"
serie de baixa atividade: >=3 anos, metade com 0 matricula e menos de 20 no total;2022;221;UNIVERSIDADE CRUZEIRO DO SUL;1562436;Sistemas De Informação;Presencial;Bacharelado;0615S02;Sistemas de informação;CINE;CINE área geral 6 Computação/TIC;0.0;1.0;0.0;"manter; aplicar filtro de atividade conforme a pergunta do visual";"pendente; triagem automatica nao confirma preenchimento da IES"
serie de baixa atividade: >=3 anos, metade com 0 matricula e menos de 20 no total;2023;221;UNIVERSIDADE CRUZEIRO DO SUL;1562436;Sistemas De Informação;Presencial;Bacharelado;0615S02;Sistemas de informação;CINE;CINE área geral 6 Computação/TIC;0.0;0.0;0.0;"manter; aplicar filtro de atividade conforme a pergunta do visual";"pendente; triagem automatica nao confirma preenchimento da IES"
serie de baixa atividade: >=3 anos, metade com 0 matricula e menos de 20 no total;2017;2240;FACULDADE DE FORTALEZA;98762;CIÊNCIA DA COMPUTAÇÃO;Presencial;Bacharelado;481C01;Ciência da computação;OCDE;OCDE área específica 48 Computação;0.0;16.0;0.0;"manter; aplicar filtro de atividade conforme a pergunta do visual";"pendente; triagem automatica nao confirma preenchimento da IES"
serie de baixa atividade: >=3 anos, metade com 0 matricula e menos de 20 no total;2018;2240;FACULDADE DE FORTALEZA;98762;CIÊNCIA DA COMPUTAÇÃO;Presencial;Bacharelado;0614C01;Ciência da computação;CINE Brasil;CINE Brasil área geral 6 Computação/TIC;1.0;14.0;0.0;"manter; aplicar filtro de atividade conforme a pergunta do visual";"pendente; triagem automatica nao confirma preenchimento da IES"
serie de baixa atividade: >=3 anos, metade com 0 matricula e menos de 20 no total;2019;2240;FACULDADE DE FORTALEZA;98762;CIÊNCIA DA COMPUTAÇÃO;Presencial;Bacharelado;0614C01;Ciência da computação;CINE Brasil;CINE Brasil área geral 6 Computação/TIC;1.0;8.0;0.0;"manter; aplicar filtro de atividade conforme a pergunta do visual";"pendente; triagem automatica nao confirma preenchimento da IES"
serie de baixa atividade: >=3 anos, metade com 0 matricula e menos de 20 no total;2020;2240;FACULDADE DE FORTALEZA;98762;CIÊNCIA DA COMPUTAÇÃO;Presencial;Bacharelado;0614C01;Ciência da computação;CINE;CINE área geral 6 Computação/TIC;0.0;0.0;0.0;"manter; aplicar filtro de atividade conforme a pergunta do visual";"pendente; triagem automatica nao confirma preenchimento da IES"
serie de baixa atividade: >=3 anos, metade com 0 matricula e menos de 20 no total;2022;2336;CENTRO UNIVERSITÁRIO BRASÍLIA DO ESTADO DE GOIÁS;1613775;Análise E Desenvolvimento De Sistemas;EaD;Tecnológico;0615S02;Sistemas de informação;CINE;CINE área geral 6 Computação/TIC;5.0;17.0;0.0;"manter; aplicar filtro de atividade conforme a pergunta do visual";"pendente; triagem automatica nao confirma preenchimento da IES"
serie de baixa atividade: >=3 anos, metade com 0 matricula e menos de 20 no total;2023;2336;CENTRO UNIVERSITÁRIO BRASÍLIA DO ESTADO DE GOIÁS;1613775;Análise E Desenvolvimento De Sistemas;EaD;Tecnológico;0615S02;Sistemas de informação;CINE;CINE área geral 6 Computação/TIC;0.0;0.0;0.0;"manter; aplicar filtro de atividade conforme a pergunta do visual";"pendente; triagem automatica nao confirma preenchimento da IES"
