NU_ANO_CENSO;CO_IES;CO_CURSO;ARQUIVO_FONTE;LINHAS_BRUTAS;LINHAS_EXPANDIDA;STATUS;STATUS_SITUACOES;NOME_FONTE;AREA_GERAL_FONTE;ROTULO_FONTE;ROTULO_OFICIAL;MAT_BRUTA_SOMA
2023;1153;1568726;data/raw/2023/dados/MICRODADOS_CADASTRO_CURSOS_2023.CSV;11;11;MAT ING CONC por municipio/dimensao iguais a fonte;iguais a fonte por municipio/dimensao;Redes De Computadores;06;"""0612R01""";0612R01;0
2023;587;1516690;data/raw/2023/dados/MICRODADOS_CADASTRO_CURSOS_2023.CSV;1;1;MAT ING CONC por municipio/dimensao iguais a fonte;iguais a fonte por municipio/dimensao;Engenharia De Computação;07;"""0714E04""";0714E04;0
2023;17854;1454503;data/raw/2023/dados/MICRODADOS_CADASTRO_CURSOS_2023.CSV;73;73;MAT ING CONC por municipio/dimensao iguais a fonte;iguais a fonte por municipio/dimensao;Análise E Desenvolvimento De Sistemas;06;"""0615S02""";0615S02;792
2023;1472;1266797;data/raw/2023/dados/MICRODADOS_CADASTRO_CURSOS_2023.CSV;869;869;MAT ING CONC por municipio/dimensao iguais a fonte;iguais a fonte por municipio/dimensao;Análise E Desenvolvimento De Sistemas;06;"""0615S02""";0615S02;14863
2023;1472;1516785;data/raw/2023/dados/MICRODADOS_CADASTRO_CURSOS_2023.CSV;373;373;MAT ING CONC por municipio/dimensao iguais a fonte;iguais a fonte por municipio/dimensao;Jogos Digitais;06;"""0613J01""";0613J01;624
2023;322;1180605;data/raw/2023/dados/MICRODADOS_CADASTRO_CURSOS_2023.CSV;1;1;MAT ING CONC por municipio/dimensao iguais a fonte;iguais a fonte por municipio/dimensao;Análise E Desenvolvimento De Sistemas;06;"""0615S02""";0615S02;51
2023;926;1613897;data/raw/2023/dados/MICRODADOS_CADASTRO_CURSOS_2023.CSV;106;106;MAT ING CONC por municipio/dimensao iguais a fonte;iguais a fonte por municipio/dimensao;Ciências Da Computação;06;"""0614C01""";0614C01;143
2023;926;1576461;data/raw/2023/dados/MICRODADOS_CADASTRO_CURSOS_2023.CSV;106;106;MAT ING CONC por municipio/dimensao iguais a fonte;iguais a fonte por municipio/dimensao;Ciência De Dados;06;"""0617C01""";0617C01;127
2023;242;1582601;data/raw/2023/dados/MICRODADOS_CADASTRO_CURSOS_2023.CSV;96;96;MAT ING CONC por municipio/dimensao iguais a fonte;iguais a fonte por municipio/dimensao;Desenvolvimento Web;06;"""0615S03""";0615S03;153
2024;1042;1599115;data/raw/2024/dados/MICRODADOS_CADASTRO_CURSOS_2024.CSV;5;5;MAT ING CONC por municipio/dimensao iguais a fonte;iguais a fonte por municipio/dimensao;Desenvolvimento Mobile;6;"""0619P01""";0619P01;0
2024;1510;1487952;data/raw/2024/dados/MICRODADOS_CADASTRO_CURSOS_2024.CSV;143;143;MAT ING CONC por municipio/dimensao iguais a fonte;iguais a fonte por municipio/dimensao;Banco De Dados;6;"""0612B01""";0612B01;295
2024;1510;1379289;data/raw/2024/dados/MICRODADOS_CADASTRO_CURSOS_2024.CSV;246;246;MAT ING CONC por municipio/dimensao iguais a fonte;iguais a fonte por municipio/dimensao;Sistemas De Informação;6;"""0613S01""";0613S01;1018
2024;926;1613897;data/raw/2024/dados/MICRODADOS_CADASTRO_CURSOS_2024.CSV;182;182;MAT ING CONC por municipio/dimensao iguais a fonte;iguais a fonte por municipio/dimensao;Ciências Da Computação;6;"""0613C01""";0613C01;181
2024;1196;1615338;data/raw/2024/dados/MICRODADOS_CADASTRO_CURSOS_2024.CSV;224;224;MAT ING CONC por municipio/dimensao iguais a fonte;iguais a fonte por municipio/dimensao;Desenvolvimento De Aplicativos Móveis;6;"""0619P01""";0619P01;135
2024;926;1576461;data/raw/2024/dados/MICRODADOS_CADASTRO_CURSOS_2024.CSV;116;116;MAT ING CONC por municipio/dimensao iguais a fonte;iguais a fonte por municipio/dimensao;Ciência De Dados;6;"""0681C01""";0681C01;117
2024;649;65614;data/raw/2024/dados/MICRODADOS_CADASTRO_CURSOS_2024.CSV;1;1;MAT ING CONC por municipio/dimensao iguais a fonte;iguais a fonte por municipio/dimensao;Sistemas De Informação;6;"""0613S01""";0613S01;0
2024;5036;1126033;data/raw/2024/dados/MICRODADOS_CADASTRO_CURSOS_2024.CSV;1;1;MAT ING CONC por municipio/dimensao iguais a fonte;iguais a fonte por municipio/dimensao;Redes De Computadores;6;"""0612R01""";0612R01;0
2024;30;1614404;data/raw/2024/dados/MICRODADOS_CADASTRO_CURSOS_2024.CSV;2;2;MAT ING CONC por municipio/dimensao iguais a fonte;iguais a fonte por municipio/dimensao;Sistemas Para Internet;6;"""0613S02""";0613S02;0
2024;1472;1572897;data/raw/2024/dados/MICRODADOS_CADASTRO_CURSOS_2024.CSV;45;45;MAT ING CONC por municipio/dimensao iguais a fonte;iguais a fonte por municipio/dimensao;Técnicas Para Telemedicina;6;"""0681C02""";0681C02;0
2024;1811;108432;data/raw/2024/dados/MICRODADOS_CADASTRO_CURSOS_2024.CSV;1;1;MAT ING CONC por municipio/dimensao iguais a fonte;iguais a fonte por municipio/dimensao;Informática;6;"""0613C01""";0613C01;0
2024;3998;1322074;data/raw/2024/dados/MICRODADOS_CADASTRO_CURSOS_2024.CSV;2;2;MAT ING CONC por municipio/dimensao iguais a fonte;iguais a fonte por municipio/dimensao;Engenharia De Software;6;"""0613C01""";0613C01;347
2024;4;122634;data/raw/2024/dados/MICRODADOS_CADASTRO_CURSOS_2024.CSV;1;1;MAT ING CONC por municipio/dimensao iguais a fonte;iguais a fonte por municipio/dimensao;Engenharia De Software;6;"""0613S01""";0613S01;262
2024;2625;1616585;data/raw/2024/dados/MICRODADOS_CADASTRO_CURSOS_2024.CSV;93;93;MAT ING CONC por municipio/dimensao iguais a fonte;iguais a fonte por municipio/dimensao;Análise E Desenvolvimento De Sistemas;6;"""0613S01""";0613S01;703
2024;1255;1352924;data/raw/2024/dados/MICRODADOS_CADASTRO_CURSOS_2024.CSV;1;1;MAT ING CONC por municipio/dimensao iguais a fonte;iguais a fonte por municipio/dimensao;Segurança Da Informação;6;"""0612S01""";0612S01;0
2024;10;1666422;data/raw/2024/dados/MICRODADOS_CADASTRO_CURSOS_2024.CSV;2;2;MAT ING CONC por municipio/dimensao iguais a fonte;iguais a fonte por municipio/dimensao;Inteligência Artificial: Sistemas De Dados Inteligentes;6;"""0613I01""";0613I01;0
2024;17854;1527827;data/raw/2024/dados/MICRODADOS_CADASTRO_CURSOS_2024.CSV;7;7;MAT ING CONC por municipio/dimensao iguais a fonte;iguais a fonte por municipio/dimensao;Ciência De Dados;6;"""0681C01""";0681C01;0
2024;1510;1379280;data/raw/2024/dados/MICRODADOS_CADASTRO_CURSOS_2024.CSV;308;308;MAT ING CONC por municipio/dimensao iguais a fonte;iguais a fonte por municipio/dimensao;Gestão Da Tecnologia Da Informação;6;"""0612G01""";0612G01;1995
2024;163;1498018;data/raw/2024/dados/MICRODADOS_CADASTRO_CURSOS_2024.CSV;527;527;MAT ING CONC por municipio/dimensao iguais a fonte;iguais a fonte por municipio/dimensao;Engenharia De Software;6;"""0613E01""";0613E01;5500
2024;1978;1617738;data/raw/2024/dados/MICRODADOS_CADASTRO_CURSOS_2024.CSV;3;3;MAT ING CONC por municipio/dimensao iguais a fonte;iguais a fonte por municipio/dimensao;Ciências De Dados;6;"""0681C01""";0681C01;0
2024;526;1598852;data/raw/2024/dados/MICRODADOS_CADASTRO_CURSOS_2024.CSV;3;3;MAT ING CONC por municipio/dimensao iguais a fonte;iguais a fonte por municipio/dimensao;Desenvolvimento Mobile;6;"""0619P01""";0619P01;0
2024;1772;1537996;data/raw/2024/dados/MICRODADOS_CADASTRO_CURSOS_2024.CSV;6;6;MAT ING CONC por municipio/dimensao iguais a fonte;iguais a fonte por municipio/dimensao;Análise E Desenvolvimento De Sistemas;6;"""0613S01""";0613S01;746
2024;17854;1502339;data/raw/2024/dados/MICRODADOS_CADASTRO_CURSOS_2024.CSV;9;9;MAT ING CONC por municipio/dimensao iguais a fonte;iguais a fonte por municipio/dimensao;Engenharia Da Computação;7;"""0714E04""";0714E04;215
2024;17854;1454503;data/raw/2024/dados/MICRODADOS_CADASTRO_CURSOS_2024.CSV;29;29;MAT ING CONC por municipio/dimensao iguais a fonte;iguais a fonte por municipio/dimensao;Análise E Desenvolvimento De Sistemas;6;"""0613S01""";0613S01;1508
2024;590;1110857;data/raw/2024/dados/MICRODADOS_CADASTRO_CURSOS_2024.CSV;1;1;MAT ING CONC por municipio/dimensao iguais a fonte;iguais a fonte por municipio/dimensao;Sistemas De Informação;6;"""0613C01""";0613C01;361
2024;1472;1266797;data/raw/2024/dados/MICRODADOS_CADASTRO_CURSOS_2024.CSV;934;934;MAT ING CONC por municipio/dimensao iguais a fonte;iguais a fonte por municipio/dimensao;Análise E Desenvolvimento De Sistemas;6;"""0613S01""";0613S01;13896
2024;1472;1617841;data/raw/2024/dados/MICRODADOS_CADASTRO_CURSOS_2024.CSV;162;162;MAT ING CONC por municipio/dimensao iguais a fonte;iguais a fonte por municipio/dimensao;Desenvolvimento De Aplicativos Móveis;6;"""0619P01""";0619P01;91
2024;1472;1551528;data/raw/2024/dados/MICRODADOS_CADASTRO_CURSOS_2024.CSV;362;362;MAT ING CONC por municipio/dimensao iguais a fonte;iguais a fonte por municipio/dimensao;Agrocomputação;6;"""0681A01""";0681A01;311
2024;1472;1516785;data/raw/2024/dados/MICRODADOS_CADASTRO_CURSOS_2024.CSV;347;347;MAT ING CONC por municipio/dimensao iguais a fonte;iguais a fonte por municipio/dimensao;Jogos Digitais;6;"""0681J01""";0681J01;459
2024;1153;1568726;data/raw/2024/dados/MICRODADOS_CADASTRO_CURSOS_2024.CSV;14;14;MAT ING CONC por municipio/dimensao iguais a fonte;iguais a fonte por municipio/dimensao;Redes De Computadores;6;"""0612R01""";0612R01;60
2024;587;1516690;data/raw/2024/dados/MICRODADOS_CADASTRO_CURSOS_2024.CSV;1;1;MAT ING CONC por municipio/dimensao iguais a fonte;iguais a fonte por municipio/dimensao;Engenharia De Computação;7;"""0714E04""";0714E04;198
2024;242;1582601;data/raw/2024/dados/MICRODADOS_CADASTRO_CURSOS_2024.CSV;61;61;MAT ING CONC por municipio/dimensao iguais a fonte;iguais a fonte por municipio/dimensao;Desenvolvimento Web;6;"""0613S02""";0613S02;180
