MOTIVO_CURADORIA;CO_CURSO;ANO_INICIAL;ANO_FINAL;QT_IES;CO_IES_LISTA;NO_IES_LISTA;NO_CURSO_LISTA;DECISAO_CURADORIA;STATUS_VERIFICACAO_FONTE
o mesmo numero de CO_CURSO aparece em IES diferentes ao longo da serie, sem sobreposicao anual;55569;2009;2024;2;1295 | 1971;FACULDADE DE EDUCAÇÃO E TECNOLOGIA IRACEMA | FACULDADE DE TECNOLOGIA MORUMBI SUL | FACULDADE MORUMBI SUL;CURSO SUPERIOR DE TECNOLOGIA EM REDES DE COMPUTADORES AREA PROFISSIONAL INFORMATICA | REDES DE COMPUTADORES | Redes De Computadores;"nao relacionar anos apenas por CO_CURSO; usar CO_IES + CO_CURSO";"pendente; triagem automatica nao confirma preenchimento da IES"
o mesmo numero de CO_CURSO aparece em IES diferentes ao longo da serie, sem sobreposicao anual;55777;2009;2024;2;1722 | 19943;FACULDADE DE PORTO VELHO | Faculdade Sapiens | Faculdade Unisapiens;SISTEMA DE INFORMAÇÃO | SISTEMAS DE INFORMACAO | SISTEMAS DE INFORMAÇÃO | Sistemas De Informação;"nao relacionar anos apenas por CO_CURSO; usar CO_IES + CO_CURSO";"pendente; triagem automatica nao confirma preenchimento da IES"
o mesmo numero de CO_CURSO aparece em IES diferentes ao longo da serie, sem sobreposicao anual;57066;2009;2024;2;2279 | 3169;Centro Universitário Metrocamp Wyden | FACULDADE DE TECNOLOGIA IBTA CAMPINAS | Faculdade METROCAMP;CURSO SUPERIOR DE TECNOLOGIA EM REDE DE COMPUTADORES AREA PROFISSIONAL INFORMATICA | REDES DE COMPUTADORES | Redes De Computadores;"nao relacionar anos apenas por CO_CURSO; usar CO_IES + CO_CURSO";"pendente; triagem automatica nao confirma preenchimento da IES"
o mesmo numero de CO_CURSO aparece em IES diferentes ao longo da serie, sem sobreposicao anual;57458;2009;2024;2;1365 | 5593;CENTRO UNIVERSITÁRIO ADVENTISTA DE SÃO PAULO | FACULDADE ADVENTISTA DE HORTOLANDIA | FACULDADE ADVENTISTA DE HORTOLÂNDIA | FACULDADE ADVENTISTA DE HORTOLÂNDIA - UNASP HORTOLÂNDIA;SISTEMAS DE INFORMACAO | SISTEMAS DE INFORMAÇÃO | Sistemas De Informação;"nao relacionar anos apenas por CO_CURSO; usar CO_IES + CO_CURSO";"pendente; triagem automatica nao confirma preenchimento da IES"
o mesmo numero de CO_CURSO aparece em IES diferentes ao longo da serie, sem sobreposicao anual;57820;2009;2024;3;215 | 376 | 457;CENTRO UNIVERSITÁRIO ANHANGUERA DE SÃO PAULO | UNIVERSIDADE ANHANGUERA DE SÃO PAULO | UNIVERSIDADE ANHANGUERA DE SÃO PAULO - UNIAN-SP | UNIVERSIDADE DO GRANDE ABC;SISTEMAS DE INFORMACAO | SISTEMAS DE INFORMAÇÃO | Sistemas De Informação;"nao relacionar anos apenas por CO_CURSO; usar CO_IES + CO_CURSO";"pendente; triagem automatica nao confirma preenchimento da IES"
o mesmo numero de CO_CURSO aparece em IES diferentes ao longo da serie, sem sobreposicao anual;58808;2009;2024;2;1066 | 2148;FACULDADE DE PALMAS | INSTITUTO DE ENSINO E PESQUISA OBJETIVO;CIENCIA DA COMPUTACAO | CIÊNCIA DA COMPUTAÇÃO | Ciência Da Computação;"nao relacionar anos apenas por CO_CURSO; usar CO_IES + CO_CURSO";"pendente; triagem automatica nao confirma preenchimento da IES"
o mesmo numero de CO_CURSO aparece em IES diferentes ao longo da serie, sem sobreposicao anual;59382;2009;2024;2;15453 | 308;Faculdade Presidente Antônio Carlos de Conselheiro Lafaiete | UNIVERSIDADE PRESIDENTE ANTONIO CARLOS;ENGENHARIA DA COMPUTACAO | ENGENHARIA DE COMPUTAÇÃO | Engenharia De Computação;"nao relacionar anos apenas por CO_CURSO; usar CO_IES + CO_CURSO";"pendente; triagem automatica nao confirma preenchimento da IES"
o mesmo numero de CO_CURSO aparece em IES diferentes ao longo da serie, sem sobreposicao anual;60406;2009;2024;2;1036 | 3465;FACULDADE DE INFORMATICA DE PASSOS | FACULDADE DE INFORMÁTICA DE PASSOS | UNIVERSIDADE DO ESTADO DE MINAS GERAIS;SISTEMA DE INFORMACAO | SISTEMAS DE INFORMAÇÃO | Sistemas De Informação;"nao relacionar anos apenas por CO_CURSO; usar CO_IES + CO_CURSO";"pendente; triagem automatica nao confirma preenchimento da IES"
o mesmo numero de CO_CURSO aparece em IES diferentes ao longo da serie, sem sobreposicao anual;60560;2009;2024;2;1036 | 3460;INSTITUTO SUPERIOR DE ENSINO E PESQUISA DE ITUIUTABA | UNIVERSIDADE DO ESTADO DE MINAS GERAIS;SISTEMA DE INFORMAÇÃO | SISTEMAS DE INFORMACAO | Sistema De Informação;"nao relacionar anos apenas por CO_CURSO; usar CO_IES + CO_CURSO";"pendente; triagem automatica nao confirma preenchimento da IES"
o mesmo numero de CO_CURSO aparece em IES diferentes ao longo da serie, sem sobreposicao anual;62074;2009;2022;2;19512 | 308;Centro Universitário Imepac - Araguari | INSTITUTO MASTER DE ENSINO PRESIDENTE ANTÔNIO CARLOS | UNIVERSIDADE PRESIDENTE ANTONIO CARLOS | UNIVERSIDADE PRESIDENTE ANTÔNIO CARLOS;SISTEMAS DE INFORMACAO | SISTEMAS DE INFORMAÇÃO | Sistemas De Informação;"nao relacionar anos apenas por CO_CURSO; usar CO_IES + CO_CURSO";"pendente; triagem automatica nao confirma preenchimento da IES"
o mesmo numero de CO_CURSO aparece em IES diferentes ao longo da serie, sem sobreposicao anual;62382;2009;2024;2;1036 | 5537;FACULDADES VALE DO CARANGOLA  FAVALE | FACULDADES VALE DO CARANGOLA - FAVALE | UNIVERSIDADE DO ESTADO DE MINAS GERAIS;SISTEMAS DE INFORMACAO | SISTEMAS DE INFORMAÇÃO | Sistemas De Informação;"nao relacionar anos apenas por CO_CURSO; usar CO_IES + CO_CURSO";"pendente; triagem automatica nao confirma preenchimento da IES"
o mesmo numero de CO_CURSO aparece em IES diferentes ao longo da serie, sem sobreposicao anual;63598;2010;2024;2;376 | 457;CENTRO UNIVERSITÁRIO ANHANGUERA DE SÃO PAULO | UNIVERSIDADE ANHANGUERA DE SÃO PAULO | UNIVERSIDADE ANHANGUERA DE SÃO PAULO - UNIAN-SP | UNIVERSIDADE BANDEIRANTE ANHANGUERA | UNIVERSIDADE BANDEIRANTE DE SÃO PAULO;GESTÃO DA TECNOLOGIA DA INFORMAÇÃO | Gestão Da Tecnologia Da Informação;"nao relacionar anos apenas por CO_CURSO; usar CO_IES + CO_CURSO";"pendente; triagem automatica nao confirma preenchimento da IES"
o mesmo numero de CO_CURSO aparece em IES diferentes ao longo da serie, sem sobreposicao anual;65440;2009;2024;2;15057 | 663;CENTRO UNIVERSITÁRIO UNIVERSO JUIZ DE FORA | UNIVERSIDADE SALGADO DE OLIVEIRA;ANALISE DE SISTEMAS SISTEMA DE INFORMACAO | SISTEMAS DE INFORMAÇÃO | Sistemas De Informação;"nao relacionar anos apenas por CO_CURSO; usar CO_IES + CO_CURSO";"pendente; triagem automatica nao confirma preenchimento da IES"
o mesmo numero de CO_CURSO aparece em IES diferentes ao longo da serie, sem sobreposicao anual;68612;2009;2020;2;1032 | 2844;CENTRO UNIVERSITÁRIO SALESIANO DE SÃO PAULO | FACULDADE SALESIANA DOM BOSCO DE PIRACICABA;SISTEMA DE INFORMAÇÃO | SISTEMAS DE INFORMACAO;"nao relacionar anos apenas por CO_CURSO; usar CO_IES + CO_CURSO";"pendente; triagem automatica nao confirma preenchimento da IES"
