MOTIVO_CURADORIA;CO_CURSO;ANO_INICIAL;ANO_FINAL;QT_IES;CO_IES_LISTA;NO_IES_LISTA;NO_CURSO_LISTA;DECISAO_CURADORIA;STATUS_VERIFICACAO_FONTE
o mesmo numero de CO_CURSO aparece em IES diferentes ao longo da serie, sem sobreposicao anual;101161;2009;2016;2;2451 | 3310;FACULDADE DE TECNOLOGIA DA AMAZONIA | FACULDADES INTEGRADAS IPIRANGA;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS | CURSO SUPERIOR DE TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMASAGRUPAMENTO DE AREAS PROFISSIONAIS INFORMATICA E TELECOMUNICACOES;"nao relacionar anos apenas por CO_CURSO; usar CO_IES + CO_CURSO";"pendente; triagem automatica nao confirma preenchimento da IES"
o mesmo numero de CO_CURSO aparece em IES diferentes ao longo da serie, sem sobreposicao anual;1011836;2010;2020;2;11563 | 1427;CENTRO UNIVERSITÁRIO DA SERRA GAÚCHA | FACULDADE DE TECNOLOGIA DA SERRA GAÚCHA - CAXIAS DO SUL;SEGURANÇA DA INFORMAÇÃO;"nao relacionar anos apenas por CO_CURSO; usar CO_IES + CO_CURSO";"pendente; triagem automatica nao confirma preenchimento da IES"
o mesmo numero de CO_CURSO aparece em IES diferentes ao longo da serie, sem sobreposicao anual;101710;2009;2024;2;15450 | 308;Centro Universitário Única | Faculdade Presidente Antônio Carlos de Ipatinga | Faculdade Única de Ipatinga | UNIVERSIDADE PRESIDENTE ANTONIO CARLOS;CIENCIA DA COMPUTACAO | CIÊNCIA DA COMPUTAÇÃO | Ciência Da Computação;"nao relacionar anos apenas por CO_CURSO; usar CO_IES + CO_CURSO";"pendente; triagem automatica nao confirma preenchimento da IES"
o mesmo numero de CO_CURSO aparece em IES diferentes ao longo da serie, sem sobreposicao anual;102276;2009;2022;2;14161 | 308;Faculdade Presidente Antônio Carlos de Contagem | Faculdade Única de Contagem | UNIVERSIDADE PRESIDENTE ANTONIO CARLOS;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS | Análise E Desenvolvimento De Sistemas | CURSO SUPERIOR DE TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS;"nao relacionar anos apenas por CO_CURSO; usar CO_IES + CO_CURSO";"pendente; triagem automatica nao confirma preenchimento da IES"
o mesmo numero de CO_CURSO aparece em IES diferentes ao longo da serie, sem sobreposicao anual;1050053;2010;2024;2;12847 | 1657;CENTRO UNIVERSITÁRIO UNISEP | FACULDADE EDUCACIONAL DE FRANCISCO BELTRÃO;SISTEMAS DE INFORMAÇÃO | Sistemas De Informação;"nao relacionar anos apenas por CO_CURSO; usar CO_IES + CO_CURSO";"pendente; triagem automatica nao confirma preenchimento da IES"
o mesmo numero de CO_CURSO aparece em IES diferentes ao longo da serie, sem sobreposicao anual;105302;2009;2024;3;215 | 376 | 457;CENTRO UNIVERSITÁRIO ANHANGUERA DE SÃO PAULO | UNIVERSIDADE ANHANGUERA DE SÃO PAULO | UNIVERSIDADE ANHANGUERA DE SÃO PAULO - UNIAN-SP | UNIVERSIDADE DO GRANDE ABC;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS | Análise E Desenvolvimento De Sistemas | CURSO SUPERIOR DE TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS;"nao relacionar anos apenas por CO_CURSO; usar CO_IES + CO_CURSO";"pendente; triagem automatica nao confirma preenchimento da IES"
o mesmo numero de CO_CURSO aparece em IES diferentes ao longo da serie, sem sobreposicao anual;105688;2009;2020;2;1198 | 880;FACULDADE DE CIENCIAS E TECNOLOGIA DO PARANA | FACULDADE DE CIÊNCIAS E TECNOLOGIA DO PARANÁ | FACULDADE DE CIÊNCIAS SOCIAIS E APLICADAS DO PARANÁ;SISTEMA DE INFORMAÇÃO | SISTEMAS DE INFORMACAO;"nao relacionar anos apenas por CO_CURSO; usar CO_IES + CO_CURSO";"pendente; triagem automatica nao confirma preenchimento da IES"
o mesmo numero de CO_CURSO aparece em IES diferentes ao longo da serie, sem sobreposicao anual;106134;2009;2021;2;1437 | 707;CENTRO UNIVERSITÁRIO CENTRAL PAULISTA | ESCOLA SUPERIOR DE TECNOLOGIA E EDUCACAO DE RIO CLARO | ESCOLA SUPERIOR DE TECNOLOGIA E EDUCAÇÃO DE RIO CLARO;SISTEMAS DE INFORMACAO | SISTEMAS DE INFORMAÇÃO | Sistemas De Informação;"nao relacionar anos apenas por CO_CURSO; usar CO_IES + CO_CURSO";"pendente; triagem automatica nao confirma preenchimento da IES"
o mesmo numero de CO_CURSO aparece em IES diferentes ao longo da serie, sem sobreposicao anual;107574;2009;2022;2;3768 | 3772;FACULDADE DE TECNOLOGIA PASTOR DOHMS | Faculdade IBGEN;CURSO SUPERIOR DE TECNOLOGIA EM REDES DE COMPUTADORESEIXO TECNOLOGICOINFORMACAO E COMUNICACAO | REDES DE COMPUTADORES | Redes De Computadores;"nao relacionar anos apenas por CO_CURSO; usar CO_IES + CO_CURSO";"pendente; triagem automatica nao confirma preenchimento da IES"
o mesmo numero de CO_CURSO aparece em IES diferentes ao longo da serie, sem sobreposicao anual;107576;2009;2022;2;3768 | 3772;FACULDADE DE TECNOLOGIA PASTOR DOHMS | Faculdade IBGEN;CURSO SUPERIOR DE TECNOLOGIA EM SISTEMAS PARA INTERNETEIXO TECNOLOGICO INFORMACAO E COMUNICACAO | SISTEMAS PARA INTERNET | Sistemas Para Internet;"nao relacionar anos apenas por CO_CURSO; usar CO_IES + CO_CURSO";"pendente; triagem automatica nao confirma preenchimento da IES"
o mesmo numero de CO_CURSO aparece em IES diferentes ao longo da serie, sem sobreposicao anual;107920;2009;2024;2;1452 | 4865;FACULDADE ANHANGUERA DE SÃO LUIZ | FACULDADE ANHANGUERA DO MARANHÃO | FACULDADE PITAGORAS DE SAO LUIZ | FACULDADE PITÁGORAS DE SÃO LUIZ;CIENCIA DA COMPUTACAO | CIÊNCIA DA COMPUTAÇÃO | Ciência Da Computação;"nao relacionar anos apenas por CO_CURSO; usar CO_IES + CO_CURSO";"pendente; triagem automatica nao confirma preenchimento da IES"
o mesmo numero de CO_CURSO aparece em IES diferentes ao longo da serie, sem sobreposicao anual;107964;2009;2023;2;1228 | 396;Centro Universitário Ruy Barbosa Wyden | FACULDADE DE TECNOLOGIA EMPRESARIAL | FACULDADE RUY BARBOSA;CURSO SUPERIOR DE TECNOLOGIA EM GESTAO DA TECNOLOGIA DA INFORMACAO EIXOTECNOLOGICO INFORMACAO E COMUNICACAO | GESTÃO DA TECNOLOGIA DA INFORMAÇÃO | Gestão Da Tecnologia Da Informação;"nao relacionar anos apenas por CO_CURSO; usar CO_IES + CO_CURSO";"pendente; triagem automatica nao confirma preenchimento da IES"
o mesmo numero de CO_CURSO aparece em IES diferentes ao longo da serie, sem sobreposicao anual;109638;2009;2022;2;1491 | 3309;CENTRO UNIVERSITÁRIO INTERNACIONAL | FACULDADE DE TECNOLOGIA INTERNACIONAL;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS | Análise E Desenvolvimento De Sistemas | CURSO SUPERIOR DE TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS EIXO TECNOLOGICO INFORMACAO E COMUNICACAO;"nao relacionar anos apenas por CO_CURSO; usar CO_IES + CO_CURSO";"pendente; triagem automatica nao confirma preenchimento da IES"
o mesmo numero de CO_CURSO aparece em IES diferentes ao longo da serie, sem sobreposicao anual;110508;2009;2024;2;1958 | 3159;Centro Universitário SENAI Blumenau | Centro Universitário SENAI Santa Catarina | FACULDADE DE TECNOLOGIA SENAI FLORIANOPOLIS | FACULDADE DE TECNOLOGIA SENAI FLORIANÓPOLIS;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS | Análise E Desenvolvimento De Sistemas | CURSO SUPERIOR DE TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS EIXO TECNOLOGICO INFORMACAO E COMUNICACAO;"nao relacionar anos apenas por CO_CURSO; usar CO_IES + CO_CURSO";"pendente; triagem automatica nao confirma preenchimento da IES"
o mesmo numero de CO_CURSO aparece em IES diferentes ao longo da serie, sem sobreposicao anual;110570;2009;2021;2;2783 | 4823;FACULDADE DE TECNOLOGIA DO NORDESTE | FACULDADE DE TECNOLOGIA EVOLUCAO | FACULDADE DE TECNOLOGIA EVOLUÇÃO;CURSO SUPERIOR DE TECNOLOGIA EM SISTEMAS PARA INTERNET EIXO TECNOLOGICO INFORMACAO E COMUNICACAO | SISTEMAS PARA INTERNET | Sistemas Para Internet;"nao relacionar anos apenas por CO_CURSO; usar CO_IES + CO_CURSO";"pendente; triagem automatica nao confirma preenchimento da IES"
o mesmo numero de CO_CURSO aparece em IES diferentes ao longo da serie, sem sobreposicao anual;1118154;2012;2024;2;4655 | 5216;FACULDADE ANHANGUERA DE EDUCAÇÃO, CIÊNCIAS E TECNOLOGIA DE SOROCABA | FACULDADE ANHANGÜERA DE SOROCABA | FACULDADE UIRAPURU;ENGENHARIA DA COMPUTAÇÃO | Engenharia Da Computação;"nao relacionar anos apenas por CO_CURSO; usar CO_IES + CO_CURSO";"pendente; triagem automatica nao confirma preenchimento da IES"
o mesmo numero de CO_CURSO aparece em IES diferentes ao longo da serie, sem sobreposicao anual;112258;2009;2017;2;1491 | 3309;CENTRO UNIVERSITÁRIO INTERNACIONAL | FACULDADE DE TECNOLOGIA INTERNACIONAL;CURSO SUPERIOR DE TECNOLOGIA EM SISTEMAS PARA INTERNET EIXO TECNOLOGICO INFORMACAO E COMUNICACAO | SISTEMAS PARA INTERNET;"nao relacionar anos apenas por CO_CURSO; usar CO_IES + CO_CURSO";"pendente; triagem automatica nao confirma preenchimento da IES"
o mesmo numero de CO_CURSO aparece em IES diferentes ao longo da serie, sem sobreposicao anual;112272;2009;2021;2;2783 | 4823;FACULDADE DE TECNOLOGIA DO NORDESTE | FACULDADE DE TECNOLOGIA EVOLUCAO | FACULDADE DE TECNOLOGIA EVOLUÇÃO;CURSO SUPERIOR DE TECNOLOGIA EM REDES DE COMPUTADORES EIXO TECNOLOGICO INFORMACAO E COMUNICACAO | REDES DE COMPUTADORES | Redes De Computadores;"nao relacionar anos apenas por CO_CURSO; usar CO_IES + CO_CURSO";"pendente; triagem automatica nao confirma preenchimento da IES"
o mesmo numero de CO_CURSO aparece em IES diferentes ao longo da serie, sem sobreposicao anual;112630;2009;2024;2;12 | 601;FUNDACAO UNIVERSIDADE FEDERAL DO RIO GRANDE | INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO GRANDE DO SUL | UNIVERSIDADE FEDERAL DO RIO GRANDE;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS | Análise E Desenvolvimento De Sistemas | CURSO SUPERIOR DE TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS;"nao relacionar anos apenas por CO_CURSO; usar CO_IES + CO_CURSO";"pendente; triagem automatica nao confirma preenchimento da IES"
o mesmo numero de CO_CURSO aparece em IES diferentes ao longo da serie, sem sobreposicao anual;1128077;2011;2024;2;1 | 25352;UNIVERSIDADE FEDERAL DE MATO GROSSO | Universidade Federal de Rondonópolis;SISTEMAS DE INFORMAÇÃO | Sistemas De Informação;"nao relacionar anos apenas por CO_CURSO; usar CO_IES + CO_CURSO";"pendente; triagem automatica nao confirma preenchimento da IES"
o mesmo numero de CO_CURSO aparece em IES diferentes ao longo da serie, sem sobreposicao anual;112893;2009;2024;2;25282 | 584;UNIVERSIDADE FEDERAL DE GOIAS | UNIVERSIDADE FEDERAL DE GOIÁS | UNIVERSIDADE FEDERAL DE JATAÍ;CIENCIAS DA COMPUTACAO | CIÊNCIA DA COMPUTAÇÃO | Ciência Da Computação;"nao relacionar anos apenas por CO_CURSO; usar CO_IES + CO_CURSO";"pendente; triagem automatica nao confirma preenchimento da IES"
o mesmo numero de CO_CURSO aparece em IES diferentes ao longo da serie, sem sobreposicao anual;113328;2009;2024;2;13684 | 5066;FACULDADE ANHANGUERA DE CONTAGEM | FACULDADE DE TECNOLOGIA INED  UNIDADE CONTAGEM | FACULDADE DE TECNOLOGIA INED - UNIDADE CONTAGEM | FACULDADE PITÁGORAS DE CONTAGEM | FACULDADE PITÁGORAS DE TECNOLOGIA DE CONTAGEM;CURSO SUPERIOR DE TECNOLOGIA EM REDES DE COMPUTADORES EIXO TECNOLOGICO INFORMACAO E COMUNICACAO | REDES DE COMPUTADORES | Redes De Computadores;"nao relacionar anos apenas por CO_CURSO; usar CO_IES + CO_CURSO";"pendente; triagem automatica nao confirma preenchimento da IES"
o mesmo numero de CO_CURSO aparece em IES diferentes ao longo da serie, sem sobreposicao anual;114578;2009;2020;2;2206 | 715;FACULDADE FAE SÃO JOSÉ DOS PINHAIS | FACULDADE PILARES | FAE CENTRO UNIVERSITÁRIO;CURSO SUPERIOR DE TECNOLOGIA EM REDES DE COMPUTADORES EIXO TECNOLOGICO INFORMACAO E COMUNICACAO | REDES DE COMPUTADORES;"nao relacionar anos apenas por CO_CURSO; usar CO_IES + CO_CURSO";"pendente; triagem automatica nao confirma preenchimento da IES"
o mesmo numero de CO_CURSO aparece em IES diferentes ao longo da serie, sem sobreposicao anual;115009;2009;2014;2;18440 | 569;UNIVERSIDADE FEDERAL DO PARA | UNIVERSIDADE FEDERAL DO PARÁ | UNIVERSIDADE FEDERAL DO SUL E SUDESTE DO PARÁ;SISTEMA DE INFORMAÇÃO | SISTEMAS DE INFORMACAO XINGUARA;"nao relacionar anos apenas por CO_CURSO; usar CO_IES + CO_CURSO";"pendente; triagem automatica nao confirma preenchimento da IES"
o mesmo numero de CO_CURSO aparece em IES diferentes ao longo da serie, sem sobreposicao anual;1166126;2014;2024;2;1957 | 1958;Centro Universitário SENAI Blumenau | Centro Universitário SENAI Santa Catarina | FACULDADE DE TECNOLOGIA SENAI JOINVILLE;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS | Análise E Desenvolvimento De Sistemas;"nao relacionar anos apenas por CO_CURSO; usar CO_IES + CO_CURSO";"pendente; triagem automatica nao confirma preenchimento da IES"
o mesmo numero de CO_CURSO aparece em IES diferentes ao longo da serie, sem sobreposicao anual;116900;2009;2024;2;5013 | 547;CENTRO UNIVERSITARIO ESTADUAL DA ZONA OESTE | CENTRO UNIVERSITÁRIO ESTADUAL DA ZONA OESTE | UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO;ANALISE E DESENVOLVIMENTO DE SISTEMAS | ANÁLISE E DESENVOLVIMENTO DE SISTEMAS | Análise E Desenvolvimento De Sistemas;"nao relacionar anos apenas por CO_CURSO; usar CO_IES + CO_CURSO";"pendente; triagem automatica nao confirma preenchimento da IES"
o mesmo numero de CO_CURSO aparece em IES diferentes ao longo da serie, sem sobreposicao anual;118468;2009;2024;2;25275 | 587;UNIVERSIDADE FEDERAL DO AGRESTE DE PERNAMBUCO | UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO;CIENCIA DA COMPUTACAO | CIÊNCIA DA COMPUTAÇÃO | Ciência Da Computação;"nao relacionar anos apenas por CO_CURSO; usar CO_IES + CO_CURSO";"pendente; triagem automatica nao confirma preenchimento da IES"
o mesmo numero de CO_CURSO aparece em IES diferentes ao longo da serie, sem sobreposicao anual;1184727;2013;2024;3;215 | 376 | 457;CENTRO UNIVERSITÁRIO ANHANGUERA DE SÃO PAULO | UNIVERSIDADE ANHANGUERA DE SÃO PAULO | UNIVERSIDADE ANHANGUERA DE SÃO PAULO - UNIAN-SP | UNIVERSIDADE DO GRANDE ABC;GESTÃO DA TECNOLOGIA DA INFORMAÇÃO | Gestão Da Tecnologia Da Informação;"nao relacionar anos apenas por CO_CURSO; usar CO_IES + CO_CURSO";"pendente; triagem automatica nao confirma preenchimento da IES"
o mesmo numero de CO_CURSO aparece em IES diferentes ao longo da serie, sem sobreposicao anual;1190854;2016;2022;2;1066 | 2148;FACULDADE DE PALMAS | INSTITUTO DE ENSINO E PESQUISA OBJETIVO;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS | Análise E Desenvolvimento De Sistemas;"nao relacionar anos apenas por CO_CURSO; usar CO_IES + CO_CURSO";"pendente; triagem automatica nao confirma preenchimento da IES"
o mesmo numero de CO_CURSO aparece em IES diferentes ao longo da serie, sem sobreposicao anual;119321;2010;2024;2;2279 | 3169;Centro Universitário Metrocamp Wyden | FACULDADE DE TECNOLOGIA IBTA CAMPINAS | Faculdade METROCAMP;CIÊNCIA DA COMPUTAÇÃO | Ciência Da Computação;"nao relacionar anos apenas por CO_CURSO; usar CO_IES + CO_CURSO";"pendente; triagem automatica nao confirma preenchimento da IES"
o mesmo numero de CO_CURSO aparece em IES diferentes ao longo da serie, sem sobreposicao anual;120682;2009;2024;2;3804 | 4006;Centro Universitário Senac RS | FACULDADE DE TECNOLOGIA SENAC PELOTAS;CURSO SUPERIOR DE TECNOLOGIA EM REDES DE COMPUTADORES EIXO TECNOLOGICO INFORMACAO E COMUNICACAO | REDES DE COMPUTADORES | Redes De Computadores;"nao relacionar anos apenas por CO_CURSO; usar CO_IES + CO_CURSO";"pendente; triagem automatica nao confirma preenchimento da IES"
o mesmo numero de CO_CURSO aparece em IES diferentes ao longo da serie, sem sobreposicao anual;1206881;2013;2024;2;18492 | 46;FACULDADE ESTADUAL DE CIÊNCIAS ECONÔMICAS DE APUCARANA | Universidade Estadual do Paraná;CIÊNCIA DA COMPUTAÇÃO | Ciência Da Computação;"nao relacionar anos apenas por CO_CURSO; usar CO_IES + CO_CURSO";"pendente; triagem automatica nao confirma preenchimento da IES"
o mesmo numero de CO_CURSO aparece em IES diferentes ao longo da serie, sem sobreposicao anual;1259028;2015;2020;2;11563 | 1427;CENTRO UNIVERSITÁRIO DA SERRA GAÚCHA | FACULDADE DE TECNOLOGIA DA SERRA GAÚCHA - CAXIAS DO SUL;GESTÃO DA TECNOLOGIA DA INFORMAÇÃO;"nao relacionar anos apenas por CO_CURSO; usar CO_IES + CO_CURSO";"pendente; triagem automatica nao confirma preenchimento da IES"
o mesmo numero de CO_CURSO aparece em IES diferentes ao longo da serie, sem sobreposicao anual;1260461;2015;2024;2;1818 | 891;FACULDADE  PITÁGORAS | FACULDADE ANHANGUERA DE BELO HORIZONTE | FACULDADE PITÁGORAS DE BELO HORIZONTE;SISTEMAS DE INFORMAÇÃO | Sistemas De Informação;"nao relacionar anos apenas por CO_CURSO; usar CO_IES + CO_CURSO";"pendente; triagem automatica nao confirma preenchimento da IES"
o mesmo numero de CO_CURSO aparece em IES diferentes ao longo da serie, sem sobreposicao anual;1260462;2015;2024;2;1818 | 891;FACULDADE  PITÁGORAS | FACULDADE ANHANGUERA DE BELO HORIZONTE | FACULDADE PITÁGORAS DE BELO HORIZONTE;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS | Análise E Desenvolvimento De Sistemas;"nao relacionar anos apenas por CO_CURSO; usar CO_IES + CO_CURSO";"pendente; triagem automatica nao confirma preenchimento da IES"
o mesmo numero de CO_CURSO aparece em IES diferentes ao longo da serie, sem sobreposicao anual;1262814;2019;2024;2;1958 | 3159;Centro Universitário SENAI Blumenau | Centro Universitário SENAI Santa Catarina | FACULDADE DE TECNOLOGIA SENAI FLORIANÓPOLIS;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS | Análise E Desenvolvimento De Sistemas;"nao relacionar anos apenas por CO_CURSO; usar CO_IES + CO_CURSO";"pendente; triagem automatica nao confirma preenchimento da IES"
o mesmo numero de CO_CURSO aparece em IES diferentes ao longo da serie, sem sobreposicao anual;1280504;2016;2024;2;1818 | 891;FACULDADE  PITÁGORAS | FACULDADE ANHANGUERA DE BELO HORIZONTE | FACULDADE PITÁGORAS DE BELO HORIZONTE;ENGENHARIA DE COMPUTAÇÃO | Engenharia De Computação;"nao relacionar anos apenas por CO_CURSO; usar CO_IES + CO_CURSO";"pendente; triagem automatica nao confirma preenchimento da IES"
o mesmo numero de CO_CURSO aparece em IES diferentes ao longo da serie, sem sobreposicao anual;1281009;2015;2024;2;1632 | 298;FACULDADE PITÁGORAS DE LONDRINA | Faculdade Pitágoras Unopar Anhanguera de Londrina | Universidade Pitágoras Unopar Anhanguera;ENGENHARIA DE COMPUTAÇÃO | Engenharia De Computação;"nao relacionar anos apenas por CO_CURSO; usar CO_IES + CO_CURSO";"pendente; triagem automatica nao confirma preenchimento da IES"
o mesmo numero de CO_CURSO aparece em IES diferentes ao longo da serie, sem sobreposicao anual;1292285;2019;2024;2;19476 | 2849;EMGE - ESCOLA DE ENGENHARIA | ESCOLA SUPERIOR DOM HELDER CÂMARA;CIÊNCIA DA COMPUTAÇÃO | Ciência Da Computação;"nao relacionar anos apenas por CO_CURSO; usar CO_IES + CO_CURSO";"pendente; triagem automatica nao confirma preenchimento da IES"
o mesmo numero de CO_CURSO aparece em IES diferentes ao longo da serie, sem sobreposicao anual;1307547;2018;2024;2;19943 | 19945;Escola Superior de Engenharia de Porto Velho | Faculdade Sapiens | Faculdade Unisapiens;ENGENHARIA DE COMPUTAÇÃO | Engenharia De Computação;"nao relacionar anos apenas por CO_CURSO; usar CO_IES + CO_CURSO";"pendente; triagem automatica nao confirma preenchimento da IES"
o mesmo numero de CO_CURSO aparece em IES diferentes ao longo da serie, sem sobreposicao anual;1322106;2016;2024;2;1883 | 2037;CENTRO UNIVERSITÁRIO UNIME | FACULDADE UNIME DE CIÊNCIAS EXATAS E TECNOLÓGICAS;ENGENHARIA DE COMPUTAÇÃO | Engenharia De Computação;"nao relacionar anos apenas por CO_CURSO; usar CO_IES + CO_CURSO";"pendente; triagem automatica nao confirma preenchimento da IES"
o mesmo numero de CO_CURSO aparece em IES diferentes ao longo da serie, sem sobreposicao anual;1322136;2017;2024;2;1452 | 4865;FACULDADE ANHANGUERA DE SÃO LUIZ | FACULDADE ANHANGUERA DO MARANHÃO | FACULDADE PITÁGORAS DE SÃO LUIZ;ENGENHARIA DE COMPUTAÇÃO | Engenharia De Computação;"nao relacionar anos apenas por CO_CURSO; usar CO_IES + CO_CURSO";"pendente; triagem automatica nao confirma preenchimento da IES"
o mesmo numero de CO_CURSO aparece em IES diferentes ao longo da serie, sem sobreposicao anual;1322390;2017;2024;2;14002 | 1805;CENTRO UNIVERSITÁRIO DOS GUARARAPES | Faculdade dos Guararapes;CIÊNCIA DA COMPUTAÇÃO | Ciência Da Computação;"nao relacionar anos apenas por CO_CURSO; usar CO_IES + CO_CURSO";"pendente; triagem automatica nao confirma preenchimento da IES"
o mesmo numero de CO_CURSO aparece em IES diferentes ao longo da serie, sem sobreposicao anual;1332810;2018;2024;2;1400 | 14786;Centro Universitário SENAI Paraná | FACULDADE DE TECNOLOGIA SENAI LONDRINA;ENGENHARIA DE SOFTWARE | Engenharia De Software;"nao relacionar anos apenas por CO_CURSO; usar CO_IES + CO_CURSO";"pendente; triagem automatica nao confirma preenchimento da IES"
o mesmo numero de CO_CURSO aparece em IES diferentes ao longo da serie, sem sobreposicao anual;1385528;2018;2024;2;1365 | 5593;CENTRO UNIVERSITÁRIO ADVENTISTA DE SÃO PAULO | FACULDADE ADVENTISTA DE HORTOLÂNDIA - UNASP HORTOLÂNDIA;ENGENHARIA DE COMPUTAÇÃO | Engenharia De Computação;"nao relacionar anos apenas por CO_CURSO; usar CO_IES + CO_CURSO";"pendente; triagem automatica nao confirma preenchimento da IES"
o mesmo numero de CO_CURSO aparece em IES diferentes ao longo da serie, sem sobreposicao anual;14137;2009;2024;2;25274 | 584;UNIVERSIDADE FEDERAL DE CATALÃO | UNIVERSIDADE FEDERAL DE GOIAS | UNIVERSIDADE FEDERAL DE GOIÁS;CIENCIAS DA COMPUTACAO | CIÊNCIA DA COMPUTAÇÃO | Ciência Da Computação;"nao relacionar anos apenas por CO_CURSO; usar CO_IES + CO_CURSO";"pendente; triagem automatica nao confirma preenchimento da IES"
o mesmo numero de CO_CURSO aparece em IES diferentes ao longo da serie, sem sobreposicao anual;1469294;2021;2024;2;13677 | 1400;Centro Universitário SENAI Paraná | FACULDADE DE TECNOLOGIA SENAI CIC;Engenharia De Software;"nao relacionar anos apenas por CO_CURSO; usar CO_IES + CO_CURSO";"pendente; triagem automatica nao confirma preenchimento da IES"
o mesmo numero de CO_CURSO aparece em IES diferentes ao longo da serie, sem sobreposicao anual;1477087;2022;2024;2;24287 | 25452;FACULDADE BIOPARK;Análise E Desenvolvimento De Sistemas;"nao relacionar anos apenas por CO_CURSO; usar CO_IES + CO_CURSO";"pendente; triagem automatica nao confirma preenchimento da IES"
o mesmo numero de CO_CURSO aparece em IES diferentes ao longo da serie, sem sobreposicao anual;150086;2010;2024;2;5013 | 547;CENTRO UNIVERSITÁRIO ESTADUAL DA ZONA OESTE | UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO;CIÊNCIA DA COMPUTAÇÃO | Ciência Da Computação;"nao relacionar anos apenas por CO_CURSO; usar CO_IES + CO_CURSO";"pendente; triagem automatica nao confirma preenchimento da IES"
o mesmo numero de CO_CURSO aparece em IES diferentes ao longo da serie, sem sobreposicao anual;18267;2009;2024;2;1158 | 396;Centro Universitário Ruy Barbosa Wyden | FACULDADE RUY BARBOSA | FACULDADE RUY BARBOSA DE CIENCIA DA COMPUTACAO;CIENCIA DA COMPUTACAO | CIÊNCIA DA COMPUTAÇÃO | Ciência Da Computação;"nao relacionar anos apenas por CO_CURSO; usar CO_IES + CO_CURSO";"pendente; triagem automatica nao confirma preenchimento da IES"
o mesmo numero de CO_CURSO aparece em IES diferentes ao longo da serie, sem sobreposicao anual;18280;2009;2024;2;2407 | 3840;CENTRO UNIVERSITÁRIO FACVEST | FACULDADES INTEGRADAS FACVEST;CIENCIA DA COMPUTACAO | CIÊNCIA DA COMPUTAÇÃO | Ciência Da Computação;"nao relacionar anos apenas por CO_CURSO; usar CO_IES + CO_CURSO";"pendente; triagem automatica nao confirma preenchimento da IES"
o mesmo numero de CO_CURSO aparece em IES diferentes ao longo da serie, sem sobreposicao anual;18957;2009;2024;2;14724 | 1855;CENTRO UNIVERSITARIO CATOLICO DO SUDOESTE DO PARANA | INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PARANÁ;SISTEMA DE INFORMAÇÃO | SISTEMAS DE INFORMACAO | Sistema De Informação;"nao relacionar anos apenas por CO_CURSO; usar CO_IES + CO_CURSO";"pendente; triagem automatica nao confirma preenchimento da IES"
o mesmo numero de CO_CURSO aparece em IES diferentes ao longo da serie, sem sobreposicao anual;20355;2009;2024;3;215 | 376 | 457;CENTRO UNIVERSITÁRIO ANHANGUERA DE SÃO PAULO | UNIVERSIDADE ANHANGUERA DE SÃO PAULO | UNIVERSIDADE ANHANGUERA DE SÃO PAULO - UNIAN-SP | UNIVERSIDADE DO GRANDE ABC;CIENCIA DA COMPUTACAO | CIÊNCIA DA COMPUTAÇÃO | Ciência Da Computação;"nao relacionar anos apenas por CO_CURSO; usar CO_IES + CO_CURSO";"pendente; triagem automatica nao confirma preenchimento da IES"
o mesmo numero de CO_CURSO aparece em IES diferentes ao longo da serie, sem sobreposicao anual;20856;2009;2024;2;1036 | 3460;INSTITUTO SUPERIOR DE ENSINO E PESQUISA DE ITUIUTABA | UNIVERSIDADE DO ESTADO DE MINAS GERAIS;ENGENHARIA DE COMPUTACAO | ENGENHARIA DE COMPUTAÇÃO | Engenharia De Computação;"nao relacionar anos apenas por CO_CURSO; usar CO_IES + CO_CURSO";"pendente; triagem automatica nao confirma preenchimento da IES"
