NU_ANO_CENSO;CO_IES;CO_CURSO;NO_IES;NO_CURSO;CO_MUNICIPIO;NO_MUNICIPIO;REGRA;EVIDENCIA;IMPACTO;STATUS
2024;352;1599563;CENTRO UNIVERSITÁRIO DE JOÃO PESSOA;Desenvolvimento Mobile;;;classificacao_em_definicao;0619P01: Programas abrangendo Computação e Tecnologias da Informação e Comunicação (TIC) em processo de definição da classificação;"classificacao declarada ainda em definicao; nao inferir categoria pelo nome";"suspeita; sem erro de declaracao confirmado"
2024;417;1599014;UNIVERSIDADE CIDADE DE SÃO PAULO;Desenvolvimento Mobile;;;classificacao_em_definicao;0619P01: Programas abrangendo Computação e Tecnologias da Informação e Comunicação (TIC) em processo de definição da classificação;"classificacao declarada ainda em definicao; nao inferir categoria pelo nome";"suspeita; sem erro de declaracao confirmado"
2024;437;1565359;UNIVERSIDADE PARANAENSE;Desenvolvimento Mobile;;;classificacao_em_definicao;0619P01: Programas abrangendo Computação e Tecnologias da Informação e Comunicação (TIC) em processo de definição da classificação;"classificacao declarada ainda em definicao; nao inferir categoria pelo nome";"suspeita; sem erro de declaracao confirmado"
2024;496;1599256;UNIVERSIDADE DE FRANCA;Desenvolvimento Mobile;;;classificacao_em_definicao;0619P01: Programas abrangendo Computação e Tecnologias da Informação e Comunicação (TIC) em processo de definição da classificação;"classificacao declarada ainda em definicao; nao inferir categoria pelo nome";"suspeita; sem erro de declaracao confirmado"
2024;515;1576418;Centro Universitário Anhanguera Pitágoras Unopar de Niterói;Desenvolvimento Mobile;;;classificacao_em_definicao;0619P01: Programas abrangendo Computação e Tecnologias da Informação e Comunicação (TIC) em processo de definição da classificação;"classificacao declarada ainda em definicao; nao inferir categoria pelo nome";"suspeita; sem erro de declaracao confirmado"
2024;526;1598852;CENTRO UNIVERSITÁRIO BRAZ CUBAS;Desenvolvimento Mobile;;;classificacao_em_definicao;0619P01: Programas abrangendo Computação e Tecnologias da Informação e Comunicação (TIC) em processo de definição da classificação;"classificacao declarada ainda em definicao; nao inferir categoria pelo nome";"suspeita; sem erro de declaracao confirmado"
2024;671;1537675;UNIVERSIDADE ANHANGUERA;Desenvolvimento Mobile;;;classificacao_em_definicao;0619P01: Programas abrangendo Computação e Tecnologias da Informação e Comunicação (TIC) em processo de definição da classificação;"classificacao declarada ainda em definicao; nao inferir categoria pelo nome";"suspeita; sem erro de declaracao confirmado"
2024;926;1576591;Centro Universitário Anhanguera Pitágoras Unopar de Campo Grande;Desenvolvimento Mobile;;;classificacao_em_definicao;0619P01: Programas abrangendo Computação e Tecnologias da Informação e Comunicação (TIC) em processo de definição da classificação;"classificacao declarada ainda em definicao; nao inferir categoria pelo nome";"suspeita; sem erro de declaracao confirmado"
2013;316;1135072;UNIVERSIDADE NOVE DE JULHO;GESTÃO DA TECNOLOGIA DA INFORMAÇÃO;;;ead_concentracao_100_mais;"5 municipios; 0 zerados; 0 valores ausentes; total 276.0; maior 252.0";distribuicao municipal nao confirmada;"suspeita; sem erro de declaracao confirmado"
2014;316;1135072;UNIVERSIDADE NOVE DE JULHO;GESTÃO DA TECNOLOGIA DA INFORMAÇÃO;;;ead_concentracao_100_mais;"5 municipios; 0 zerados; 0 valores ausentes; total 318.0; maior 296.0";distribuicao municipal nao confirmada;"suspeita; sem erro de declaracao confirmado"
2014;316;114401;UNIVERSIDADE NOVE DE JULHO;REDES DE COMPUTADORES;;;ead_concentracao_100_mais;"5 municipios; 0 zerados; 0 valores ausentes; total 491.0; maior 454.0";distribuicao municipal nao confirmada;"suspeita; sem erro de declaracao confirmado"
2014;316;1152522;UNIVERSIDADE NOVE DE JULHO;SISTEMAS PARA INTERNET;;;ead_concentracao_100_mais;"5 municipios; 0 zerados; 0 valores ausentes; total 152.0; maior 143.0";distribuicao municipal nao confirmada;"suspeita; sem erro de declaracao confirmado"
2015;316;1135072;UNIVERSIDADE NOVE DE JULHO;GESTÃO DA TECNOLOGIA DA INFORMAÇÃO;;;ead_concentracao_100_mais;"5 municipios; 0 zerados; 0 valores ausentes; total 365.0; maior 351.0";distribuicao municipal nao confirmada;"suspeita; sem erro de declaracao confirmado"
2015;316;114401;UNIVERSIDADE NOVE DE JULHO;REDES DE COMPUTADORES;;;ead_concentracao_100_mais;"5 municipios; 0 zerados; 0 valores ausentes; total 643.0; maior 605.0";distribuicao municipal nao confirmada;"suspeita; sem erro de declaracao confirmado"
2015;316;1152522;UNIVERSIDADE NOVE DE JULHO;SISTEMAS PARA INTERNET;;;ead_concentracao_100_mais;"5 municipios; 2 zerados; 0 valores ausentes; total 176.0; maior 161.0";distribuicao municipal nao confirmada;"suspeita; sem erro de declaracao confirmado"
2015;316;116390;UNIVERSIDADE NOVE DE JULHO;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;;;ead_concentracao_100_mais;"5 municipios; 0 zerados; 0 valores ausentes; total 582.0; maior 543.0";distribuicao municipal nao confirmada;"suspeita; sem erro de declaracao confirmado"
2016;316;1135072;UNIVERSIDADE NOVE DE JULHO;GESTÃO DA TECNOLOGIA DA INFORMAÇÃO;;;ead_concentracao_100_mais;"5 municipios; 0 zerados; 0 valores ausentes; total 361.0; maior 347.0";distribuicao municipal nao confirmada;"suspeita; sem erro de declaracao confirmado"
2016;316;114401;UNIVERSIDADE NOVE DE JULHO;REDES DE COMPUTADORES;;;ead_concentracao_100_mais;"5 municipios; 0 zerados; 0 valores ausentes; total 717.0; maior 683.0";distribuicao municipal nao confirmada;"suspeita; sem erro de declaracao confirmado"
2016;316;1152522;UNIVERSIDADE NOVE DE JULHO;SISTEMAS PARA INTERNET;;;ead_concentracao_100_mais;"5 municipios; 0 zerados; 0 valores ausentes; total 190.0; maior 172.0";distribuicao municipal nao confirmada;"suspeita; sem erro de declaracao confirmado"
2016;316;116390;UNIVERSIDADE NOVE DE JULHO;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;;;ead_concentracao_100_mais;"5 municipios; 0 zerados; 0 valores ausentes; total 600.0; maior 566.0";distribuicao municipal nao confirmada;"suspeita; sem erro de declaracao confirmado"
2020;1060;1303431;CENTRO UNIVERSITÁRIO DO INSTITUTO DE EDUCAÇÃO SUPERIOR DE BRASÍLIA - IESB;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;;;ead_concentracao_100_mais;"27 municipios; 12 zerados; 0 valores ausentes; total 454.0; maior 411.0";distribuicao municipal nao confirmada;"suspeita; sem erro de declaracao confirmado"
