NU_ANO_CENSO;CO_IES;NO_IES;N_CURSOS;N_CURSOS_ALERTA;N_CURSOS_ATENCAO;N_CURSOS_INFORMACAO;N_CURSOS_SEM_OBSERVACOES;PCT_CURSOS_COM_ALERTA;PRINCIPAIS_OBSERVACOES;TEXTO_ENTENDA
2011;5668;FACULDADE ANHANGUERA DE JOINVILLE;1;0;0;0;1;0.0;;Em 2011, FACULDADE ANHANGUERA DE JOINVILLE tem 1 curso de Computação na base. Nenhum tem observações.
2011;5669;FACULDADE DE TECNOLOGIA DE SÃO JOSÉ DOS CAMPOS;4;2;0;0;2;50.0;Zero inscritos informados (2 cursos);Em 2011, FACULDADE DE TECNOLOGIA DE SÃO JOSÉ DOS CAMPOS tem 4 cursos de Computação na base. 2 ficam de fora de algum gráfico. Principais observações: Zero inscritos informados (2 cursos).
2011;5670;FACULDADES UNIDAS DO VALE DO ARAGUAIA;1;0;0;0;1;0.0;;Em 2011, FACULDADES UNIDAS DO VALE DO ARAGUAIA tem 1 curso de Computação na base. Nenhum tem observações.
2011;568;UNIVERSIDADE ESTADUAL DO MARANHÃO;5;3;0;0;2;60.0;"Zero inscritos informados (3 cursos); Matrículas caíram a zero de um ano para o outro (1 curso); Curso com pouquíssima atividade na série (1 curso)";"Em 2011, UNIVERSIDADE ESTADUAL DO MARANHÃO tem 5 cursos de Computação na base. 3 ficam de fora de algum gráfico. Principais observações: Zero inscritos informados (3 cursos); Matrículas caíram a zero de um ano para o outro (1 curso); Curso com pouquíssima atividade na série (1 curso)."
2011;569;UNIVERSIDADE FEDERAL DO PARÁ;8;3;0;1;4;37.5;"Zero inscritos informados (3 cursos); Código do curso aparece em outra instituição (2 cursos)";"Em 2011, UNIVERSIDADE FEDERAL DO PARÁ tem 8 cursos de Computação na base. 3 ficam de fora de algum gráfico e 1 tem só nota informativa. Principais observações: Zero inscritos informados (3 cursos); Código do curso aparece em outra instituição (2 cursos)."
2011;57;UNIVERSIDADE ESTADUAL DE MARINGÁ;2;0;0;0;2;0.0;;Em 2011, UNIVERSIDADE ESTADUAL DE MARINGÁ tem 2 cursos de Computação na base. Nenhum tem observações.
2011;570;UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE;7;4;0;0;3;57.1;Zero inscritos informados (4 cursos);Em 2011, UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE tem 7 cursos de Computação na base. 4 ficam de fora de algum gráfico. Principais observações: Zero inscritos informados (4 cursos).
2011;571;UNIVERSIDADE FEDERAL DO PARANÁ;5;0;0;1;4;0.0;Classificação do curso mudou ao longo dos anos (1 curso);Em 2011, UNIVERSIDADE FEDERAL DO PARANÁ tem 5 cursos de Computação na base. 1 tem só nota informativa. Principais observações: Classificação do curso mudou ao longo dos anos (1 curso).
2011;572;UNIVERSIDADE FEDERAL FLUMINENSE;4;0;0;0;4;0.0;;Em 2011, UNIVERSIDADE FEDERAL FLUMINENSE tem 4 cursos de Computação na base. Nenhum tem observações.
2011;573;UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO;6;0;0;0;6;0.0;;Em 2011, UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO tem 6 cursos de Computação na base. Nenhum tem observações.
2011;574;UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO;2;0;0;0;2;0.0;;Em 2011, UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO tem 2 cursos de Computação na base. Nenhum tem observações.
2011;575;UNIVERSIDADE FEDERAL DE MINAS GERAIS;3;0;0;0;3;0.0;;Em 2011, UNIVERSIDADE FEDERAL DE MINAS GERAIS tem 3 cursos de Computação na base. Nenhum tem observações.
