FLAG;USO;TRATAMENTO;DECISAO
FL_EAD_SEM_TERRITORIO;INSCRITOS;-;D10
FL_VAGAS_REPETIDAS;EVASAO_SIT;-;D03
FL_VAGAS_IES_ANO_SUSPEITO;EVASAO_SIT;-;D03
FL_INSCRITO_IGUAL;EVASAO_SIT;-;D04
FL_INSCRITO_ZERO;EVASAO_SIT;-;D07
FL_MAT_ZERO_COM_ING;EVASAO_SIT;excluir;D10
FL_MAT_CAI_A_ZERO;EVASAO_SIT;excluir;D10
FL_ZERO_LACUNA_50;EVASAO_SIT;excluir;D10
FL_SALTO_MAT;EVASAO_SIT;sinalizar;D10
FL_EAD_DISTRIB_ATIPICA;EVASAO_SIT;-;D02
FL_MUDANCA_DISTRIBUICAO;EVASAO_SIT;-;D10
FL_NOME_ROTULO_DIVERGENTE;EVASAO_SIT;-;D10
FL_ROTULO_EM_DEFINICAO;EVASAO_SIT;-;D10
FL_EAD_MUNICIPIOS_ZERADOS_AMPLA;EVASAO_SIT;-;D02
FL_EAD_TODOS_MUN_ZERO;EVASAO_SIT;-;D10
FL_TUDO_ZERO;EVASAO_SIT;excluir;D10
FL_BAIXA_ATIVIDADE;EVASAO_SIT;-;D10
FL_INTERDISCIPLINAR;EVASAO_SIT;-;D10
FL_ROTULO_MUDA_NA_SERIE;EVASAO_SIT;-;D10
FL_CO_CURSO_EM_VARIAS_IES;EVASAO_SIT;-;D10
FL_MUN_ZERO_3_ANOS;EVASAO_SIT;-;D10
FL_PROXY_OCDE_2017;EVASAO_SIT;-;D10
FL_EAD_SEM_TERRITORIO;EVASAO_SIT;-;D10
FL_VAGAS_REPETIDAS;AREA_TIPO;-;D03
FL_VAGAS_IES_ANO_SUSPEITO;AREA_TIPO;-;D03
FL_INSCRITO_IGUAL;AREA_TIPO;-;D04
FL_INSCRITO_ZERO;AREA_TIPO;-;D07
FL_MAT_ZERO_COM_ING;AREA_TIPO;-;D10
FL_MAT_CAI_A_ZERO;AREA_TIPO;-;D10
FL_ZERO_LACUNA_50;AREA_TIPO;-;D10
FL_SALTO_MAT;AREA_TIPO;-;D10
FL_EAD_DISTRIB_ATIPICA;AREA_TIPO;-;D02
FL_MUDANCA_DISTRIBUICAO;AREA_TIPO;-;D10
FL_NOME_ROTULO_DIVERGENTE;AREA_TIPO;sinalizar;D10
FL_ROTULO_EM_DEFINICAO;AREA_TIPO;sinalizar;D10
FL_EAD_MUNICIPIOS_ZERADOS_AMPLA;AREA_TIPO;-;D02
FL_EAD_TODOS_MUN_ZERO;AREA_TIPO;-;D10
FL_TUDO_ZERO;AREA_TIPO;-;D10
FL_BAIXA_ATIVIDADE;AREA_TIPO;-;D10
FL_INTERDISCIPLINAR;AREA_TIPO;sinalizar;D10
FL_ROTULO_MUDA_NA_SERIE;AREA_TIPO;sinalizar;D10
FL_CO_CURSO_EM_VARIAS_IES;AREA_TIPO;-;D10
FL_MUN_ZERO_3_ANOS;AREA_TIPO;-;D10
FL_PROXY_OCDE_2017;AREA_TIPO;sinalizar;D10
FL_EAD_SEM_TERRITORIO;AREA_TIPO;-;D10
FL_VAGAS_REPETIDAS;SERIE_CURSO;-;D03
FL_VAGAS_IES_ANO_SUSPEITO;SERIE_CURSO;-;D03
FL_INSCRITO_IGUAL;SERIE_CURSO;-;D04
FL_INSCRITO_ZERO;SERIE_CURSO;-;D07
FL_MAT_ZERO_COM_ING;SERIE_CURSO;excluir;D10
FL_MAT_CAI_A_ZERO;SERIE_CURSO;excluir;D10
FL_ZERO_LACUNA_50;SERIE_CURSO;excluir;D10
FL_SALTO_MAT;SERIE_CURSO;sinalizar;D10
FL_EAD_DISTRIB_ATIPICA;SERIE_CURSO;-;D02
FL_MUDANCA_DISTRIBUICAO;SERIE_CURSO;-;D10
FL_NOME_ROTULO_DIVERGENTE;SERIE_CURSO;-;D10
FL_ROTULO_EM_DEFINICAO;SERIE_CURSO;-;D10
FL_EAD_MUNICIPIOS_ZERADOS_AMPLA;SERIE_CURSO;-;D02
FL_EAD_TODOS_MUN_ZERO;SERIE_CURSO;-;D10
FL_TUDO_ZERO;SERIE_CURSO;sinalizar;D10
FL_BAIXA_ATIVIDADE;SERIE_CURSO;sinalizar;D10
FL_INTERDISCIPLINAR;SERIE_CURSO;-;D10
FL_ROTULO_MUDA_NA_SERIE;SERIE_CURSO;sinalizar;D10
FL_CO_CURSO_EM_VARIAS_IES;SERIE_CURSO;sinalizar;D10
FL_MUN_ZERO_3_ANOS;SERIE_CURSO;-;D10
FL_PROXY_OCDE_2017;SERIE_CURSO;-;D10
FL_EAD_SEM_TERRITORIO;SERIE_CURSO;-;D10
