NU_ANO_CENSO;CO_IES;NO_IES;CO_CURSO;NO_CURSO;DS_TP_MODALIDADE_ENSINO;CO_MUNICIPIO;NO_MUNICIPIO;SG_UF;CH_CURSO_ANO;FLAG;TITULO;GRAVIDADE;NV;EVIDENCIA;COMO_TRATAMOS
2016;1036;UNIVERSIDADE DO ESTADO DE MINAS GERAIS;62382;SISTEMAS DE INFORMAÇÃO;Presencial;;;;2016|1036|62382;FL_CO_CURSO_EM_VARIAS_IES;Código do curso aparece em outra instituição;Informação;1;"O código 62382 foi usado por 2 instituições diferentes ao longo dos anos: FACULDADES VALE DO CARANGOLA - FAVALE (2009 a 2012); UNIVERSIDADE DO ESTADO DE MINAS GERAIS (2014 a 2024).";Aparece com aviso em: Evolução de um mesmo curso.
2016;1038;FACULDADES INTEGRADAS DE TRÊS LAGOAS;18328;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;Presencial;;;;2016|1038|18328;FL_INSCRITO_ZERO;Zero inscritos informados;Alerta;3;Foram informados 0 inscritos para 383 vagas e 0 ingressantes.;Fica de fora de: Inscritos nos processos seletivos.
2016;1042;UNIVERSIDADE POSITIVO;120477;JOGOS DIGITAIS;Presencial;;;;2016|1042|120477;FL_INSCRITO_ZERO;Zero inscritos informados;Alerta;3;Foram informados 0 inscritos, 0 vagas e 0 ingressantes.;Fica de fora de: Inscritos nos processos seletivos.
2016;1043;CENTRO UNIVERSITÁRIO HERMINIO OMETTO;64352;REDES DE COMPUTADORES;Presencial;;;;2016|1043|64352;FL_INSCRITO_ZERO;Zero inscritos informados;Alerta;3;Foram informados 0 inscritos, 0 vagas e 0 ingressantes.;Fica de fora de: Inscritos nos processos seletivos.
2016;1043;CENTRO UNIVERSITÁRIO HERMINIO OMETTO;64352;REDES DE COMPUTADORES;Presencial;;;;2016|1043|64352;FL_MAT_CAI_A_ZERO;Matrículas caíram a zero de um ano para o outro;Alerta;3;"Em 2015 o curso tinha 2 matrículas; em 2016, informou 0; o curso não aparece em 2017.";Fica de fora de: Alunos desvinculados e trancados e Evolução de um mesmo curso. Aparece com aviso em: Matrículas, ingressantes e concluintes ao longo dos anos.
2016;1046;UNIÃO DAS FACULDADES DOS GRANDES LAGOS;1059820;SISTEMAS PARA INTERNET;Presencial;;;;2016|1046|1059820;FL_INSCRITO_ZERO;Zero inscritos informados;Alerta;3;Foram informados 0 inscritos para 321 vagas e 0 ingressantes.;Fica de fora de: Inscritos nos processos seletivos.
2016;1060;CENTRO UNIVERSITÁRIO DO INSTITUTO DE EDUCAÇÃO SUPERIOR DE BRASÍLIA - IESB;1076542;SEGURANÇA DA INFORMAÇÃO;Presencial;;;;2016|1060|1076542;FL_INSCRITO_ZERO;Zero inscritos informados;Alerta;3;Foram informados 0 inscritos, 0 vagas e 0 ingressantes.;Fica de fora de: Inscritos nos processos seletivos.
2016;1066;INSTITUTO DE ENSINO E PESQUISA OBJETIVO;1190854;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;Presencial;;;;2016|1066|1190854;FL_CO_CURSO_EM_VARIAS_IES;Código do curso aparece em outra instituição;Informação;1;"O código 1190854 foi usado por 2 instituições diferentes ao longo dos anos: INSTITUTO DE ENSINO E PESQUISA OBJETIVO (2016 a 2019); FACULDADE DE PALMAS (2020 a 2022).";Aparece com aviso em: Evolução de um mesmo curso.
2016;1066;INSTITUTO DE ENSINO E PESQUISA OBJETIVO;58808;CIÊNCIA DA COMPUTAÇÃO;Presencial;;;;2016|1066|58808;FL_CO_CURSO_EM_VARIAS_IES;Código do curso aparece em outra instituição;Informação;1;"O código 58808 foi usado por 2 instituições diferentes ao longo dos anos: INSTITUTO DE ENSINO E PESQUISA OBJETIVO (2009 a 2019); FACULDADE DE PALMAS (2020 a 2024).";Aparece com aviso em: Evolução de um mesmo curso.
2016;1066;INSTITUTO DE ENSINO E PESQUISA OBJETIVO;72088;REDES DE COMPUTADORES;Presencial;;;;2016|1066|72088;FL_CO_CURSO_EM_VARIAS_IES;Código do curso aparece em outra instituição;Informação;1;"O código 72088 foi usado por 2 instituições diferentes ao longo dos anos: INSTITUTO DE ENSINO E PESQUISA OBJETIVO (2009 a 2019); FACULDADE DE PALMAS (2020 a 2022).";Aparece com aviso em: Evolução de um mesmo curso.
2016;1068;FACULDADE ALDETE MARIA ALVES;1166113;SISTEMAS DE INFORMAÇÃO;Presencial;;;;2016|1068|1166113;FL_INSCRITO_ZERO;Zero inscritos informados;Alerta;3;Foram informados 0 inscritos para 160 vagas e 0 ingressantes.;Fica de fora de: Inscritos nos processos seletivos.
2016;1068;FACULDADE ALDETE MARIA ALVES;1166113;SISTEMAS DE INFORMAÇÃO;Presencial;;;;2016|1068|1166113;FL_MAT_CAI_A_ZERO;Matrículas caíram a zero de um ano para o outro;Alerta;3;"Em 2015 o curso tinha 15 matrículas; em 2016, informou 0; em 2017, 0.";Fica de fora de: Alunos desvinculados e trancados e Evolução de um mesmo curso. Aparece com aviso em: Matrículas, ingressantes e concluintes ao longo dos anos.
2016;1085;FACULDADE METODISTA DE SANTA MARIA;87278;SISTEMAS DE INFORMAÇÃO;Presencial;;;;2016|1085|87278;FL_INSCRITO_ZERO;Zero inscritos informados;Alerta;3;Foram informados 0 inscritos, 0 vagas e 0 ingressantes.;Fica de fora de: Inscritos nos processos seletivos.
2016;1120;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA FLUMINENSE;18026;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;Presencial;;;;2016|1120|18026;FL_INSCRITO_ZERO;Zero inscritos informados;Alerta;3;Foram informados 0 inscritos, 0 vagas e 0 ingressantes.;Fica de fora de: Inscritos nos processos seletivos.
2016;1129;CENTRO UNIVERSITÁRIO DO NORTE PAULISTA;1293003;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;Presencial;;;;2016|1129|1293003;FL_MAT_CAI_A_ZERO;Matrículas caíram a zero de um ano para o outro;Alerta;3;"Em 2015 o curso tinha 1 matrículas; em 2016, informou 0; o curso não aparece em 2017.";Fica de fora de: Alunos desvinculados e trancados e Evolução de um mesmo curso. Aparece com aviso em: Matrículas, ingressantes e concluintes ao longo dos anos.
